['2017-08-29 16:30 Tue', '', '', '', '', '', '', '', '', '', '']
['2017-08-30 16:30 Wed', '1390.50', '1382.80', '1384.20', '1392.70', '1379.00', '1452.30', '1332.30', '88100', '555477', 'TFSU7']
['2017-08-31 16:30 Thu', '1403.70', '1404.40', '1391.80', '1407.20', '1390.60', '1452.30', '1332.30', '123400', '552837', 'TFSU7']
['2017-09-01 16:30 Fri', '1411.40', '1404.40', '1406.30', '1414.50', '1404.10', '1452.30', '1332.30', '86200', '551779', 'TFSU7']
['2017-09-04 16:30 Mon', '1417.20', '1412.10', '1400.00', '1420.10', '1399.80', '1452.30', '1332.30', '14200', '546109', 'TFSU7']
['2017-09-05 16:30 Tue', '1401.60', '1412.10', '1418.00', '1419.50', '1393.50', '1452.30', '1332.30', '121500', '547099', 'TFSU7']
['2017-09-06 16:30 Wed', '1402.00', '1401.20', '1399.00', '1407.80', '1397.90', '1452.30', '1332.30', '84300', '542778', 'TFSU7']
['2017-09-07 16:30 Thu', '1398.70', '1401.60', '1399.10', '1404.50', '1393.30', '1452.30', '1332.30', '126200', '541177', 'TFSU7']
['2017-09-08 16:30 Fri', '1402.90', '1398.10', '1396.70', '1405.40', '1393.00', '1452.30', '1332.30', '79600', '506631', 'TFSU7']
['2017-09-11 17:11 Mon', '1416.80', '1416.70', '1405.80', '1417.10', '1405.80', '1452.30', '1332.30', '57900', '468022', 'TFSU7']
['2017-09-12 16:30 Tue', '1423.70', '1416.70', '1414.10', '1424.70', '1414.10', '1452.30', '1332.30', '54500', '457465', 'TFSU7']
['2017-09-13 16:30 Wed', '1426.60', '1423.40', '1423.80', '1430.00', '1420.50', '1452.30', '1332.30', '34400', '448823', 'TFSU7']
['2017-09-14 16:30 Thu', '1427.50', '1427.20', '1426.40', '1429.10', '1421.80', '1452.30', '1332.30', '19900', '434882', 'TFSU7']
['2017-09-15 16:30 Fri', '1424.40', '1427.02', '1424.90', '1427.50', '1422.20', '1452.30', '1332.30', '378', '427106', 'TFSU7']
['2017-09-18 16:40 Mon', '1442.40', '1441.90', '1431.30', '1445.00', '1431.30', '1451.00', '1349.10', '49400', '56815', 'TFSZ7']
['2017-09-19 16:30 Tue', '1441.30', '1441.90', '1441.80', '1444.40', '1437.50', '1451.00', '1349.10', '33400', '56798', 'TFSZ7']
['2017-09-20 16:30 Wed', '1446.80', '1441.30', '1439.90', '1447.40', '1439.30', '1451.00', '1349.10', '48900', '58106', 'TFSZ7']
['2017-09-21 16:30 Thu', '1444.80', '1445.30', '1446.60', '1449.90', '1441.70', '1451.00', '1349.10', '54800', '58713', 'TFSZ7']
['2017-09-22 16:54 Fri', '1451.20', '1451.20', '1444.00', '1453.80', '1438.50', '1453.80', '1349.10', '50900', '60445', 'TFSZ7']
['2017-09-25 16:13 Mon', '1453.80', '1451.20', '1450.40', '1456.60', '1443.90', '1456.60', '1349.10', '52800', '61259', 'TFSZ7']
['2017-09-27 16:15 Wed', '1486.30', '1457.90', '1458.20', '1489.70', '1457.10', '1489.70', '1349.10', '84500', '53918', 'TFSZ7']
['2017-09-28 16:15 Thu', '1491.70', '1487.60', '1485.70', '1491.90', '1478.60', '1491.90', '1349.10', '59500', '59262', 'TFSZ7']
['2017-09-29 16:15 Fri', '1493.20', '1492.50', '1490.40', '1495.20', '1488.50', '1495.20', '1349.10', '51800', '59462', 'TFSZ7']
['2017-10-02 16:15 Mon', '1512.50', '1493.00', '1492.30', '1512.50', '1491.60', '1512.50', '1349.10', '50600', '57373', 'TFSZ7']
['2017-10-03 16:15 Tue', '1514.70', '1510.40', '1512.40', '1514.90', '1504.10', '1514.90', '1349.10', '45600', '60519', 'TFSZ7']
['2017-10-04 16:15 Wed', '1509.60', '1515.50', '1514.00', '1517.20', '1504.90', '1517.20', '1349.10', '42100', '61722', 'TFSZ7']
['2017-10-05 16:15 Thu', '1514.90', '1511.00', '1509.60', '1517.40', '1509.40', '1517.40', '1349.10', '32600', '61305', 'TFSZ7']
['2017-10-06 16:15 Fri', '1511.40', '1515.40', '1514.20', '1514.70', '1506.70', '1517.40', '1349.10', '33300', '61199', 'TFSZ7']
