['2017-08-29 16:30 Tue', '1383.681', '1382.229', '1381.314', '1385.195', '1371.802', '1452.091', '1156.085', '249041568', '', 'RTY:IND']
['2017-08-30 16:30 Wed', '1391.324', '1383.681', '1383.211', '1392.772', '1381.203', '1452.091', '1156.085', '262666752', '', 'RTY:IND']
['2017-08-31 16:30 Thu', '1405.277', '1391.324', '1392.042', '1406.444', '1392.042', '1452.091', '1156.085', '235515040', '', 'RTY:IND']
['2017-09-01 16:30 Fri', '1413.571', '1405.277', '1405.825', '1413.865', '1405.825', '1452.091', '1156.085', '289160320', '', 'RTY:IND']
['2017-09-04 16:30 Mon', '1413.571', '1405.277', '1405.825', '1413.865', '1405.825', '1452.091', '1156.085', '224214400', '', 'RTY:IND']
['2017-09-05 16:30 Tue', '1399.655', '1413.571', '1413.304', '1414.546', '1394.507', '1452.091', '1156.085', '224214400', '', 'RTY:IND']
['2017-09-06 16:30 Wed', '1402.196', '1399.655', '1400.009', '1406.021', '1399.273', '1452.091', '1156.085', '279097440', '', 'RTY:IND']
['2017-09-07 16:30 Thu', '1398.674', '1402.196', '1402.457', '1404.307', '1393.885', '1452.091', '1156.085', '247688240', '', 'RTY:IND']
['2017-09-08 16:30 Fri', '1399.429', '1398.674', '1398.189', '1403.529', '1394.433', '1452.091', '1156.085', '266820256', '', 'RTY:IND']
['2017-09-11 17:11 Mon', '1414.828', '1399.429', '1400.558', '1415.748', '1400.558', '1452.091', '1156.085', '277623904', '', 'RTY:IND']
['2017-09-12 16:30 Tue', '1423.463', '1414.828', '1415.344', '1423.927', '1415.179', '1452.091', '1156.085', '250820800', '', 'RTY:IND']
['2017-09-13 16:30 Wed', '1426.894', '1423.463', '1423.298', '1428.745', '1421.879', '1452.091', '1156.085', '244497888', '', 'RTY:IND']
['2017-09-14 16:30 Thu', '1425.023', '1426.894', '1426.571', '1427.924', '1421.634', '1452.091', '1156.085', '285258688', '', 'RTY:IND']
['2017-09-15 16:30 Fri', '1431.713', '1425.023', '1425.349', '1431.991', '1422.246', '1452.091', '1156.085', '271476192', '', 'RTY:IND']
['2017-09-18 16:40 Mon', '1441.083', '1431.712', '1431.748', '1444.269', '1431.748', '1452.091', '1156.085', '963640256', '', 'RTY:IND']
['2017-09-19 16:30 Tue', '1440.404', '1441.083', '1441.185', '1442.578', '1438.291', '1452.091', '1156.085', '292311488', '', 'RTY:IND']
['2017-09-20 16:30 Wed', '1445.420', '1440.404', '1440.476', '1446.479', '1440.001', '1452.091', '1156.085', '276328000', '', 'RTY:IND']
['2017-09-21 16:30 Thu', '1444.184', '1445.420', '1445.198', '1448.844', '1441.686', '1452.091', '1156.085', '253795904', '', 'RTY:IND']
['2017-09-22 16:54 Fri', '1450.781', '1444.184', '1443.470', '1451.506', '1441.865', '1452.091', '1156.085', '229993120', '', 'RTY:IND']
['2017-09-25 16:13 Mon', '1451.462', '1450.781', '1450.635', '1455.219', '1445.020', '1455.219', '1156.085', '259656544', '', 'RTY:IND']
['2017-09-27 16:15 Wed', '1485.017', '1456.863', '1457.270', '1487.950', '1457.270', '1487.950', '1156.085', '267459440', '', 'RTY:IND']
['2017-09-28 16:15 Thu', '1488.582', '1484.813', '1484.802', '1489.354', '1478.198', '1489.354', '1156.085', '315395840', '', 'RTY:IND']
['2017-09-29 16:15 Fri', '1491.478', '1488.786', '1488.795', '1493.555', '1488.795', '1493.555', '1156.085', '280061312', '', 'RTY:IND']
