['2017-08-29 16:30 Tue', '17.46', '17.516', '17.61', '17.755', '17.345', '20.530', '14.440', '83300', '144744', 'SIZ7']
['2017-08-30 16:30 Wed', '17.48', '17.503', '17.44', '17.555', '17.370', '20.530', '14.440', '86900', '152069', 'SIZ7']
['2017-08-31 16:30 Thu', '17.665', '17.575', '17.51', '17.695', '17.340', '20.530', '14.440', '79400', '151651', 'SIZ7']
['2017-09-01 16:30 Fri', '17.78', '17.816', '17.66', '17.825', '17.505', '20.530', '14.440', '98300', '156730', 'SIZ7']
['2017-09-04 16:30 Mon', '17.98', '17.816', '17.88', '18.030', '17.835', '20.530', '14.440', '38500', '159225', 'SIZ7']
['2017-09-05 16:30 Tue', '17.955', '17.941', '17.88', '18.090', '17.835', '20.530', '14.440', '122800', '158485', 'SIZ7']
['2017-09-06 16:30 Wed', '17.95', '17.910', '17.98', '18.070', '17.885', '20.530', '14.440', '70400', '158719', 'SIZ7']
['2017-09-07 16:30 Thu', '18.18', '18.116', '17.95', '18.215', '17.865', '20.465', '14.440', '87300', '160556', 'SIZ7']
['2017-09-08 16:30 Fri', '18.05', '18.123', '18.205', '18.290', '17.965', '20.465', '14.440', '84100', '162815', 'SIZ7']
['2017-09-15 16:52 Fri', '17.715', '', '17.845', '17.915', '17.650', '20.465', '14.440', '60800', '156795', 'SIZ7']
['2017-09-15 17:09 Fri', '17.73', '17.789', '17.845', '17.915', '17.650', '20.465', '14.440', '63200', '156795', 'SIZ7']
['2017-09-15 17:29 Fri', '17.725', '17.789', '17.845', '17.915', '17.650', '20.465', '14.440', '64300', '156795', 'SIZ7']
