['2017-08-29 16:30 Tue', '3388.22', '3421.03', '3411.89', '3411.89', '3363.68', '3666.80', '2922.82', '205354112', '', 'SX5E:IND']
['2017-08-30 16:30 Wed', '3403.71', '3388.22', '3405.65', '3412.26', '3397.27', '3666.80', '2922.82', '414841984', '', 'SX5E:IND']
['2017-08-31 16:30 Thu', '3421.47', '3403.71', '3409.62', '3437.82', '3409.62', '3666.80', '2922.82', '274019104', '', 'SX5E:IND']
['2017-09-01 16:30 Fri', '3443.88', '3421.47', '3425.84', '3454.55', '3425.84', '3666.80', '2922.82', '417510112', '', 'SX5E:IND']
['2017-09-04 16:30 Mon', '3430.42', '3443.88', '3436.36', '3438.06', '3419.06', '3666.80', '2922.82', '297274688', '', 'SX5E:IND']
['2017-09-05 16:30 Tue', '3420.86', '3430.42', '3432.55', '3448.93', '3415.98', '3666.80', '2922.82', '196398640', '', 'SX5E:IND']
['2017-09-06 16:30 Wed', '3433.80', '3420.86', '3407.94', '3444.48', '3396.69', '3666.80', '2922.82', '298266848', '', 'SX5E:IND']
['2017-09-07 16:30 Thu', '3447.66', '3433.80', '3437.61', '3467.94', '3437.61', '3666.80', '2922.82', '433690688', '', 'SX5E:IND']
['2017-09-08 16:30 Fri', '3447.69', '3447.66', '3441.34', '3453.35', '3433.63', '3666.80', '2922.82', '447335200', '', 'SX5E:IND']
['2017-09-11 17:11 Mon', '3495.19', '3447.69', '3456.77', '3496.70', '3456.77', '3666.80', '2922.82', '343951360', '', 'SX5E:IND']
['2017-09-12 16:30 Tue', '3512.56', '3495.19', '3498.32', '3520.82', '3498.32', '3666.80', '2922.82', '372685760', '', 'SX5E:IND']
['2017-09-13 16:30 Wed', '3523.14', '3512.56', '3509.64', '3529.18', '3506.61', '3666.80', '2922.82', '376743776', '', 'SX5E:IND']
['2017-09-14 16:30 Thu', '3526.48', '3523.14', '3521.03', '3530.28', '3512.01', '3666.80', '2922.82', '399493408', '', 'SX5E:IND']
['2017-09-15 16:30 Fri', '3515.55', '3526.48', '3526.01', '3532.78', '3509.93', '3666.80', '2922.82', '381472192', '', 'SX5E:IND']
['2017-09-18 16:40 Mon', '3526.74', '3515.55', '3523.60', '3537.22', '3522.59', '3666.80', '2922.82', '339464608', '', 'SX5E:IND']
['2017-09-19 16:30 Tue', '3531.18', '3526.74', '3524.28', '3531.18', '3520.93', '3666.80', '2922.82', '339464608', '', 'SX5E:IND']
['2017-09-20 16:30 Wed', '3525.55', '3531.18', '3528.17', '3533.66', '3520.72', '3666.80', '2922.82', '312623616', '', 'SX5E:IND']
['2017-09-21 16:30 Thu', '3539.59', '3525.55', '3531.52', '3546.56', '3531.52', '3666.80', '2922.82', '365938304', '', 'SX5E:IND']
['2017-09-22 16:54 Fri', '3541.42', '3539.59', '3534.27', '3553.08', '3532.39', '3666.80', '2922.82', '360372160', '', 'SX5E:IND']
['2017-09-25 16:13 Mon', '3537.81', '3541.42', '3537.21', '3546.83', '3530.88', '3666.80', '2922.82', '360383552', '', 'SX5E:IND']
['2017-09-27 16:15 Wed', '3555.17', '3536.38', '3538.43', '3563.01', '3538.43', '3666.80', '2922.82', '385064160', '', 'SX5E:IND']
['2017-09-28 16:15 Thu', '3563.64', '3555.17', '3556.50', '3566.60', '3556.50', '3666.80', '2922.82', '413968192', '', 'SX5E:IND']
['2017-09-29 16:15 Fri', '3594.85', '3563.64', '3563.61', '3594.85', '3560.73', '3666.80', '2922.82', '368778336', '', 'SX5E:IND']
['2017-10-02 16:15 Mon', '3602.69', '3594.85', '3590.71', '3602.69', '3588.40', '3666.80', '2922.82', '468921088', '', 'SX5E:IND']
['2017-10-03 16:15 Tue', '3605.73', '3602.69', '3605.99', '3607.31', '3598.71', '3666.80', '2937.98', '521715776', '', 'SX5E:IND']
['2017-10-04 16:15 Wed', '3594.91', '3605.73', '3606.60', '3608.45', '3584.82', '3666.80', '2937.98', '492330848', '', 'SX5E:IND']
['2017-10-05 16:15 Thu', '3613.54', '3594.91', '3592.66', '3613.83', '3589.66', '3666.80', '2937.98', '608887616', '', 'SX5E:IND']
['2017-10-06 16:15 Fri', '3603.32', '3613.54', '3614.17', '3614.17', '3595.50', '3666.80', '2937.98', '508459840', '', 'SX5E:IND']
