['2017-08-29 16:30 Tue', '0.9559', '0.9553', '0.9553', '0.9561', '0.9429', '1.0344', '0.9429', '', '', 'USDCHF:CUR']
['2017-08-30 16:30 Wed', '0.9642', '0.9558', '0.9558', '0.9646', '0.9539', '1.0344', '0.9429', '', '', 'USDCHF:CUR']
['2017-08-31 16:30 Thu', '0.9585', '0.9636', '0.9636', '0.9680', '0.9584', '1.0344', '0.9429', '', '', 'USDCHF:CUR']
['2017-09-01 16:30 Fri', '0.9651', '0.9587', '0.9587', '0.9653', '0.9547', '1.0344', '0.9429', '', '', 'USDCHF:CUR']
['2017-09-04 16:30 Mon', '0.9583', '0.9648', '0.9638', '0.9644', '0.9552', '1.0344', '0.9429', '', '', 'USDCHF:CUR']
['2017-09-05 16:30 Tue', '0.9552', '0.9582', '0.9582', '0.9614', '0.9535', '1.0344', '0.9429', '', '', 'USDCHF:CUR']
['2017-09-06 16:30 Wed', '0.9569', '0.9552', '0.9552', '0.9582', '0.9528', '1.0344', '0.9429', '', '', 'USDCHF:CUR']
['2017-09-07 16:30 Thu', '0.9506', '0.9567', '0.9567', '0.9594', '0.9494', '1.0344', '0.9429', '', '', 'USDCHF:CUR']
['2017-09-08 16:30 Fri', '0.9444', '0.9506', '0.9506', '0.9509', '0.9421', '1.0344', '0.9421', '', '', 'USDCHF:CUR']
['2017-09-11 17:11 Mon', '0.9554', '0.9563', '0.9563', '0.9565', '0.9545', '1.0344', '0.9421', '', '', 'USDCHF:CUR']
['2017-09-12 16:30 Tue', '0.9606', '0.9563', '0.9563', '0.9618', '0.9545', '1.0344', '0.9421', '', '', 'USDCHF:CUR']
['2017-09-13 16:30 Wed', '0.9642', '0.9604', '0.9602', '0.9661', '0.9584', '1.0344', '0.9421', '', '', 'USDCHF:CUR']
['2017-09-14 16:30 Thu', '0.9640', '0.9641', '0.9642', '0.9705', '0.9619', '1.0344', '0.9421', '', '', 'USDCHF:CUR']
['2017-09-15 16:30 Fri', '0.9592', '0.9632', '0.9632', '0.9664', '0.9565', '1.0344', '0.9421', '', '', 'USDCHF:CUR']
['2017-09-18 16:40 Mon', '0.9616', '0.9603', '0.9601', '0.9641', '0.9581', '1.0344', '0.9421', '', '', 'USDCHF:CUR']
['2017-09-19 16:30 Tue', '0.9628', '0.9615', '0.9615', '0.9649', '0.9595', '1.0344', '0.9421', '', '', 'USDCHF:CUR']
['2017-09-20 16:30 Wed', '0.9692', '0.9627', '0.9627', '0.9718', '0.9590', '1.0344', '0.9421', '', '', 'USDCHF:CUR']
['2017-09-21 16:30 Thu', '0.9709', '0.9698', '0.9698', '0.9748', '0.9685', '1.0344', '0.9421', '', '', 'USDCHF:CUR']
['2017-09-22 16:54 Fri', '0.9697', '0.9706', '0.9706', '0.9710', '0.9668', '1.0344', '0.9421', '', '', 'USDCHF:CUR']
['2017-09-25 16:13 Mon', '0.9671', '0.9693', '0.9713', '0.9746', '0.9643', '1.0344', '0.9421', '', '', 'USDCHF:CUR']
['2017-09-27 16:15 Wed', '0.9720', '0.9687', '0.9687', '0.9770', '0.9687', '1.0344', '0.9421', '', '', 'USDCHF:CUR']
['2017-09-28 16:15 Thu', '0.9709', '0.9721', '0.9721', '0.9759', '0.9698', '1.0344', '0.9421', '', '', 'USDCHF:CUR']
['2017-09-29 16:15 Fri', '0.9684', '0.9702', '0.9702', '0.9721', '0.9671', '1.0344', '0.9421', '', '', 'USDCHF:CUR']
['2017-10-02 16:15 Mon', '0.9750', '0.9683', '0.9691', '0.9755', '0.9675', '1.0344', '0.9421', '', '', 'USDCHF:CUR']
['2017-10-03 16:15 Tue', '0.9736', '0.9747', '0.9747', '0.9787', '0.9729', '1.0344', '0.9421', '', '', 'USDCHF:CUR']
['2017-10-04 16:15 Wed', '0.9748', '0.9737', '0.9737', '0.9762', '0.9710', '1.0344', '0.9421', '', '', 'USDCHF:CUR']
['2017-10-05 16:15 Thu', '0.9788', '0.9753', '0.9753', '0.9796', '0.9743', '1.0344', '0.9421', '', '', 'USDCHF:CUR']
['2017-10-06 16:15 Fri', '0.9782', '0.9783', '0.9783', '0.9836', '0.9771', '1.0344', '0.9421', '', '', 'USDCHF:CUR']
