['2017-08-29 16:30 Tue', '109.74', '109.25', '109.25', '109.90', '108.27', '118.66', '100.09', '', '', 'USDJPY:CUR']
['2017-08-30 16:30 Wed', '110.35', '109.71', '109.71', '110.44', '109.55', '118.66', '100.09', '', '', 'USDJPY:CUR']
['2017-08-31 16:30 Thu', '109.96', '110.24', '110.24', '110.67', '109.88', '118.66', '100.09', '', '', 'USDJPY:CUR']
['2017-09-01 16:30 Fri', '110.28', '109.98', '109.98', '110.47', '109.56', '118.66', '100.09', '', '', 'USDJPY:CUR']
['2017-09-04 16:30 Mon', '109.69', '110.25', '109.36', '109.93', '109.23', '118.66', '100.09', '', '', 'USDJPY:CUR']
['2017-09-05 16:30 Tue', '108.81', '109.72', '109.72', '109.83', '108.63', '118.66', '100.09', '', '', 'USDJPY:CUR']
['2017-09-06 16:30 Wed', '109.32', '108.81', '108.81', '109.40', '108.45', '118.66', '100.09', '', '', 'USDJPY:CUR']
['2017-09-07 16:30 Thu', '108.46', '109.22', '109.22', '109.27', '108.05', '118.66', '100.09', '', '', 'USDJPY:CUR']
['2017-09-08 16:30 Fri', '107.81', '108.45', '108.45', '108.49', '107.32', '118.66', '100.09', '', '', 'USDJPY:CUR']
['2017-09-15 16:52 Fri', '110.84', '110.24', '110.24', '111.33', '109.56', '118.66', '100.09', '', '', 'USDJPY:CUR']
['2017-09-15 17:09 Fri', '110.84', '110.24', '110.24', '111.33', '109.56', '118.66', '100.09', '', '', 'USDJPY:CUR']
['2017-09-15 17:29 Fri', '110.86', '110.24', '110.24', '111.33', '109.56', '118.66', '100.09', '', '', 'USDJPY:CUR']
