['2017-09-22 19:22 Fri', '56.90', '56.86', '56.50', '', '', '', '', '204800', '236391', 'LCOX7']
['2017-09-22 19:27 Fri', '56.90', '56.86', '56.50', '', '', '', '', '204800', '236391', 'LCOX7']
['2017-09-22 19:28 Fri', '56.90', '56.86', '56.50', '', '', '', '', '204800', '236391', 'LCOX7']
['2017-09-22 19:30 Fri', '56.90', '56.86', '56.50', '', '', '', '', '204800', '236391', 'LCOX7']
['2017-09-22 19:31 Fri', '56.90', '56.86', '56.50', '', '', '', '', '204800', '236391', 'LCOX7']
['2017-09-22 19:36 Fri', '56.90', '56.86', '56.50', '', '', '', '', '204800', '236391', 'LCOX7']
['2017-09-22 19:40 Fri', '56.90', '56.86', '56.50', '56.91', '56.22', '60.08', '45.19', '204800', '236391', 'LCOX7']
['2017-09-22 19:42 Fri', '56.90', '56.86', '56.50', '', '', '', '', '204800', '236391', 'LCOX7']
['2017-09-22 19:48 Fri', '56.90', '56.86', '56.50', '56.91', '56.22', '60.08', '45.19', '204800', '236391', 'LCOX7']
['2017-09-22 19:50 Fri', '56.90', '56.86', '56.50', '', '', '', '', '204800', '236391', 'LCOX7']
['2017-09-22 19:52 Fri', '56.90', '56.86', '56.50', '', '', '', '', '204800', '236391', 'LCOX7']
['2017-09-22 19:54 Fri', '56.90', '56.86', '56.50', '', '', '', '', '204800', '236391', 'LCOX7']
['2017-09-22 19:56 Fri', '56.90', '56.86', '56.50', '56.91', '56.22', '60.08', '45.19', '204800', '236391', 'LCOX7']
