['2017-09-22 19:22 Fri', '5281.29', '5267.29', '5277.39', '', '', '', '', '73657568', '', 'CAC:IND']
['2017-09-22 19:27 Fri', '5281.29', '5267.29', '5277.39', '', '', '', '', '73657568', '', 'CAC:IND']
['2017-09-22 19:28 Fri', '5281.29', '5267.29', '5277.39', '', '', '', '', '73657568', '', 'CAC:IND']
['2017-09-22 19:30 Fri', '5281.29', '5267.29', '5277.39', '', '', '', '', '73657568', '', 'CAC:IND']
['2017-09-22 19:31 Fri', '5281.29', '5267.29', '5277.39', '', '', '', '', '73657568', '', 'CAC:IND']
['2017-09-22 19:36 Fri', '5281.29', '5267.29', '5277.39', '5295.93', '5271.88', '5442.10', '4342.64', '73657568', '', 'CAC:IND']
['2017-09-22 19:40 Fri', '5281.29', '5267.29', '5277.39', '5295.93', '5271.88', '5442.10', '4342.64', '73657568', '', 'CAC:IND']
['2017-09-22 19:42 Fri', '5281.29', '5267.29', '5277.39', '5295.93', '5271.88', '5442.10', '4342.64', '73657568', '', 'CAC:IND']
['2017-09-22 19:48 Fri', '5281.29', '5267.29', '5277.39', '5295.93', '5271.88', '5442.10', '4342.64', '73657568', '', 'CAC:IND']
['2017-09-22 19:50 Fri', '5281.29', '5267.29', '5277.39', '5295.93', '5271.88', '5442.10', '4342.64', '73657568', '', 'CAC:IND']
['2017-09-22 19:52 Fri', '5281.29', '5267.29', '5277.39', '5295.93', '5271.88', '5442.10', '4342.64', '73657568', '', 'CAC:IND']
['2017-09-22 19:54 Fri', '5281.29', '5267.29', '5277.39', '5295.93', '5271.88', '5442.10', '4342.64', '73657568', '', 'CAC:IND']
['2017-09-22 19:56 Fri', '5281.29', '5267.29', '5277.39', '5295.93', '5271.88', '5442.10', '4342.64', '73657568', '', 'CAC:IND']
