['2017-09-22 19:22 Fri', '50.66', '50.66', '50.73', '', '', '', '', '457500', '584674', 'CLX7']
['2017-09-22 19:27 Fri', '50.66', '50.66', '50.73', '', '', '', '', '457500', '584674', 'CLX7']
['2017-09-22 19:28 Fri', '50.66', '50.66', '50.73', '', '', '', '', '457500', '584674', 'CLX7']
['2017-09-22 19:30 Fri', '50.66', '50.66', '50.73', '', '', '', '', '457500', '584674', 'CLX7']
['2017-09-22 19:31 Fri', '50.66', '50.66', '50.73', '', '', '', '', '457500', '584674', 'CLX7']
['2017-09-22 19:36 Fri', '50.66', '50.66', '50.73', '', '', '', '', '457500', '584674', 'CLX7']
['2017-09-22 19:40 Fri', '50.66', '50.66', '50.73', '50.78', '50.29', '58.37', '42.84', '457500', '584674', 'CLX7']
['2017-09-22 19:42 Fri', '50.66', '50.66', '50.73', '', '', '', '', '457500', '584674', 'CLX7']
['2017-09-22 19:48 Fri', '50.66', '50.66', '50.73', '50.78', '50.29', '58.37', '42.84', '457500', '584674', 'CLX7']
['2017-09-22 19:50 Fri', '50.66', '50.66', '50.73', '', '', '', '', '457500', '584674', 'CLX7']
['2017-09-22 19:52 Fri', '50.66', '50.66', '50.73', '', '', '', '', '457500', '584674', 'CLX7']
['2017-09-22 19:54 Fri', '50.66', '50.66', '50.73', '', '', '', '', '457500', '584674', 'CLX7']
['2017-09-22 19:56 Fri', '50.66', '50.66', '50.73', '50.78', '50.29', '58.37', '42.84', '457500', '584674', 'CLX7']
