['2017-09-22 19:22 Fri', '2.9535', '2.9445', '2.9335', '', '', '', '', '109100', '184274', 'HGZ7']
['2017-09-22 19:27 Fri', '2.9535', '2.9445', '2.9335', '', '', '', '', '109100', '184274', 'HGZ7']
['2017-09-22 19:28 Fri', '2.9535', '2.9445', '2.9335', '', '', '', '', '109100', '184274', 'HGZ7']
['2017-09-22 19:30 Fri', '2.9535', '2.9445', '2.9335', '', '', '', '', '109100', '184274', 'HGZ7']
['2017-09-22 19:31 Fri', '2.9535', '2.9445', '2.9335', '', '', '', '', '109100', '184274', 'HGZ7']
['2017-09-22 19:36 Fri', '2.9535', '2.9445', '2.9335', '', '', '', '', '109100', '184274', 'HGZ7']
['2017-09-22 19:40 Fri', '2.9535', '2.9445', '2.9335', '2.9565', '2.8940', '3.1785', '2.1275', '109100', '184274', 'HGZ7']
['2017-09-22 19:42 Fri', '2.9535', '2.9445', '2.9335', '', '', '', '', '109100', '184274', 'HGZ7']
['2017-09-22 19:48 Fri', '2.9535', '2.9445', '2.9335', '2.9565', '2.8940', '3.1785', '2.1275', '109100', '184274', 'HGZ7']
['2017-09-22 19:50 Fri', '2.9535', '2.9445', '2.9335', '', '', '', '', '109100', '184274', 'HGZ7']
['2017-09-22 19:52 Fri', '2.9535', '2.9445', '2.9335', '', '', '', '', '109100', '184274', 'HGZ7']
['2017-09-22 19:54 Fri', '2.9535', '2.9445', '2.9335', '', '', '', '', '109100', '184274', 'HGZ7']
['2017-09-22 19:56 Fri', '2.9535', '2.9445', '2.9335', '2.9565', '2.8940', '3.1785', '2.1275', '109100', '184274', 'HGZ7']
