['2017-09-22 19:22 Fri', '353.50', '353.50', '349.75', '', '', '', '', '128000', '810779', 'CZ7']
['2017-09-22 19:27 Fri', '353.50', '353.50', '349.75', '', '', '', '', '128000', '810779', 'CZ7']
['2017-09-22 19:28 Fri', '353.50', '353.50', '349.75', '', '', '', '', '128000', '810779', 'CZ7']
['2017-09-22 19:30 Fri', '353.50', '353.50', '349.75', '', '', '', '', '128000', '810779', 'CZ7']
['2017-09-22 19:31 Fri', '353.50', '353.50', '349.75', '', '', '', '', '128000', '810779', 'CZ7']
['2017-09-22 19:36 Fri', '353.50', '353.50', '349.75', '', '', '', '', '128000', '810779', 'CZ7']
['2017-09-22 19:40 Fri', '353.50', '353.50', '349.75', '356.25', '349.50', '417.25', '344.25', '128000', '810779', 'CZ7']
['2017-09-22 19:42 Fri', '353.50', '353.50', '349.75', '', '', '', '', '128000', '810779', 'CZ7']
['2017-09-22 19:48 Fri', '353.50', '353.50', '349.75', '356.25', '349.50', '417.25', '344.25', '128000', '810779', 'CZ7']
['2017-09-22 19:50 Fri', '353.50', '353.50', '349.75', '', '', '', '', '128000', '810779', 'CZ7']
['2017-09-22 19:52 Fri', '353.50', '353.50', '349.75', '', '', '', '', '128000', '810779', 'CZ7']
['2017-09-22 19:54 Fri', '353.50', '353.50', '349.75', '', '', '', '', '128000', '810779', 'CZ7']
['2017-09-22 19:56 Fri', '353.50', '353.50', '349.75', '356.25', '349.50', '417.25', '344.25', '128000', '810779', 'CZ7']
