['2017-09-22 19:22 Fri', '12592.35', '12600.03', '12569.66', '', '', '', '', '78836136', '', 'DAX:IND']
['2017-09-22 19:27 Fri', '12592.35', '12600.03', '12569.66', '', '', '', '', '78836136', '', 'DAX:IND']
['2017-09-22 19:28 Fri', '12592.35', '12600.03', '12569.66', '', '', '', '', '78836136', '', 'DAX:IND']
['2017-09-22 19:30 Fri', '12592.35', '12600.03', '12569.66', '', '', '', '', '78836136', '', 'DAX:IND']
['2017-09-22 19:31 Fri', '12592.35', '12600.03', '12569.66', '', '', '', '', '78836136', '', 'DAX:IND']
['2017-09-22 19:36 Fri', '12592.35', '12600.03', '12569.66', '12646.56', '12568.80', '12951.54', '10174.92', '78836136', '', 'DAX:IND']
['2017-09-22 19:40 Fri', '12592.35', '12600.03', '12569.66', '12646.56', '12568.80', '12951.54', '10174.92', '78836136', '', 'DAX:IND']
['2017-09-22 19:42 Fri', '12592.35', '12600.03', '12569.66', '12646.56', '12568.80', '12951.54', '10174.92', '78836136', '', 'DAX:IND']
['2017-09-22 19:48 Fri', '12592.35', '12600.03', '12569.66', '12646.56', '12568.80', '12951.54', '10174.92', '78836136', '', 'DAX:IND']
['2017-09-22 19:50 Fri', '12592.35', '12600.03', '12569.66', '12646.56', '12568.80', '12951.54', '10174.92', '78836136', '', 'DAX:IND']
['2017-09-22 19:52 Fri', '12592.35', '12600.03', '12569.66', '12646.56', '12568.80', '12951.54', '10174.92', '78836136', '', 'DAX:IND']
['2017-09-22 19:54 Fri', '12592.35', '12600.03', '12569.66', '12646.56', '12568.80', '12951.54', '10174.92', '78836136', '', 'DAX:IND']
['2017-09-22 19:56 Fri', '12592.35', '12600.03', '12569.66', '12646.56', '12568.80', '12951.54', '10174.92', '78836136', '', 'DAX:IND']
