['2017-09-22 19:22 Fri', '22306', '22299', '22326', '', '', '', '', '110500', '156109', 'YMZ7']
['2017-09-22 19:27 Fri', '22306', '22299', '22326', '', '', '', '', '110500', '156109', 'YMZ7']
['2017-09-22 19:28 Fri', '22306', '22299', '22326', '', '', '', '', '110500', '156109', 'YMZ7']
['2017-09-22 19:30 Fri', '22306', '22299', '22326', '', '', '', '', '110500', '156109', 'YMZ7']
['2017-09-22 19:31 Fri', '22306', '22299', '22326', '', '', '', '', '110500', '156109', 'YMZ7']
['2017-09-22 19:36 Fri', '22306', '22299', '22326', '', '', '', '', '110500', '156109', 'YMZ7']
['2017-09-22 19:40 Fri', '22306', '22299', '22326', '22334', '22258', '22389', '19549', '110500', '156109', 'YMZ7']
['2017-09-22 19:42 Fri', '22306', '22299', '22326', '', '', '', '', '110500', '156109', 'YMZ7']
['2017-09-22 19:48 Fri', '22306', '22299', '22326', '22334', '22258', '22389', '19549', '110500', '156109', 'YMZ7']
['2017-09-22 19:50 Fri', '22306', '22299', '22326', '', '', '', '', '110500', '156109', 'YMZ7']
['2017-09-22 19:52 Fri', '22306', '22299', '22326', '', '', '', '', '110500', '156109', 'YMZ7']
['2017-09-22 19:54 Fri', '22306', '22299', '22326', '', '', '', '', '110500', '156109', 'YMZ7']
['2017-09-22 19:56 Fri', '22306', '22299', '22326', '22334', '22258', '22389', '19549', '110500', '156109', 'YMZ7']
