['2017-09-22 19:22 Fri', '22349.59', '22359.23', '22334.07', '', '', '', '', '84550272', '', 'INDU:IND']
['2017-09-22 19:27 Fri', '22349.59', '22359.23', '22334.07', '', '', '', '', '84550272', '', 'INDU:IND']
['2017-09-22 19:28 Fri', '22349.59', '22359.23', '22334.07', '', '', '', '', '84550272', '', 'INDU:IND']
['2017-09-22 19:30 Fri', '22349.59', '22359.23', '22334.07', '', '', '', '', '84550272', '', 'INDU:IND']
['2017-09-22 19:31 Fri', '22349.59', '22359.23', '22334.07', '', '', '', '', '84550272', '', 'INDU:IND']
['2017-09-22 19:36 Fri', '22349.59', '22359.23', '22334.07', '22364.31', '22299.58', '22419.51', '17883.56', '84550272', '', 'INDU:IND']
['2017-09-22 19:40 Fri', '22349.59', '22359.23', '22334.07', '22364.31', '22299.58', '22419.51', '17883.56', '84550272', '', 'INDU:IND']
['2017-09-22 19:42 Fri', '22349.59', '22359.23', '22334.07', '22364.31', '22299.58', '22419.51', '17883.56', '84550272', '', 'INDU:IND']
['2017-09-22 19:48 Fri', '22349.59', '22359.23', '22334.07', '22364.31', '22299.58', '22419.51', '17883.56', '84550272', '', 'INDU:IND']
['2017-09-22 19:50 Fri', '22349.59', '22359.23', '22334.07', '22364.31', '22299.58', '22419.51', '17883.56', '84550272', '', 'INDU:IND']
['2017-09-22 19:52 Fri', '22349.59', '22359.23', '22334.07', '22364.31', '22299.58', '22419.51', '17883.56', '84550272', '', 'INDU:IND']
['2017-09-22 19:54 Fri', '22349.59', '22359.23', '22334.07', '22364.31', '22299.58', '22419.51', '17883.56', '84550272', '', 'INDU:IND']
['2017-09-22 19:56 Fri', '22349.59', '22359.23', '22334.07', '22364.31', '22299.58', '22419.51', '17883.56', '84550272', '', 'INDU:IND']
