['2017-09-22 19:22 Fri', '92.171', '92.259', '92.166', '', '', '', '', '', '', 'DXY:CUR']
['2017-09-22 19:27 Fri', '92.171', '92.259', '92.166', '', '', '', '', '', '', 'DXY:CUR']
['2017-09-22 19:28 Fri', '92.171', '92.259', '92.166', '', '', '', '', '', '', 'DXY:CUR']
['2017-09-22 19:30 Fri', '92.171', '92.259', '92.166', '', '', '', '', '', '', 'DXY:CUR']
['2017-09-22 19:31 Fri', '92.171', '92.259', '92.166', '', '', '', '', '', '', 'DXY:CUR']
['2017-09-22 19:36 Fri', '92.171', '92.259', '92.166', '92.221', '91.781', '103.820', '91.011', '', '', 'DXY:CUR']
['2017-09-22 19:40 Fri', '92.171', '92.259', '92.166', '92.221', '91.781', '103.820', '91.011', '', '', 'DXY:CUR']
['2017-09-22 19:42 Fri', '92.171', '92.259', '92.166', '92.221', '91.781', '103.820', '91.011', '', '', 'DXY:CUR']
['2017-09-22 19:48 Fri', '92.171', '92.259', '92.166', '92.221', '91.781', '103.820', '91.011', '', '', 'DXY:CUR']
['2017-09-22 19:50 Fri', '92.171', '92.259', '92.166', '92.221', '91.781', '103.820', '91.011', '', '', 'DXY:CUR']
['2017-09-22 19:52 Fri', '92.171', '92.259', '92.166', '92.221', '91.781', '103.820', '91.011', '', '', 'DXY:CUR']
['2017-09-22 19:54 Fri', '92.171', '92.259', '92.166', '92.221', '91.781', '103.820', '91.011', '', '', 'DXY:CUR']
['2017-09-22 19:56 Fri', '92.171', '92.259', '92.166', '92.221', '91.781', '103.820', '91.011', '', '', 'DXY:CUR']
