['2017-09-22 19:22 Fri', '2499.75', '2499.50', '2500.75', '', '', '', '', '1000000', '3073085', 'ESZ7']
['2017-09-22 19:27 Fri', '2499.75', '2499.50', '2500.75', '', '', '', '', '1000000', '3073085', 'ESZ7']
['2017-09-22 19:28 Fri', '2499.75', '2499.50', '2500.75', '', '', '', '', '1000000', '3073085', 'ESZ7']
['2017-09-22 19:30 Fri', '2499.75', '2499.50', '2500.75', '', '', '', '', '1000000', '3073085', 'ESZ7']
['2017-09-22 19:31 Fri', '2499.75', '2499.50', '2500.75', '', '', '', '', '1000000', '3073085', 'ESZ7']
['2017-09-22 19:36 Fri', '2499.75', '2499.50', '2500.75', '', '', '', '', '1000000', '3073085', 'ESZ7']
['2017-09-22 19:40 Fri', '2499.75', '2499.50', '2500.75', '2501.00', '2492.00', '2507.25', '2061.00', '1000000', '3073085', 'ESZ7']
['2017-09-22 19:42 Fri', '2499.75', '2499.50', '2500.75', '', '', '', '', '1000000', '3073085', 'ESZ7']
['2017-09-22 19:48 Fri', '2499.75', '2499.50', '2500.75', '2501.00', '2492.00', '2507.25', '2061.00', '1000000', '3073085', 'ESZ7']
['2017-09-22 19:50 Fri', '2499.75', '2499.50', '2500.75', '', '', '', '', '1000000', '3073085', 'ESZ7']
['2017-09-22 19:52 Fri', '2499.75', '2499.50', '2500.75', '', '', '', '', '1000000', '3073085', 'ESZ7']
['2017-09-22 19:54 Fri', '2499.75', '2499.50', '2500.75', '', '', '', '', '1000000', '3073085', 'ESZ7']
['2017-09-22 19:56 Fri', '2499.75', '2499.50', '2500.75', '2501.00', '2492.00', '2507.25', '2061.00', '1000000', '3073085', 'ESZ7']
