['2017-09-22 19:22 Fri', '98.51', '98.5050', '98.495', '', '', '', '', '215600', '2031501', 'EDZ17']
['2017-09-22 19:27 Fri', '98.51', '98.5050', '98.495', '', '', '', '', '215600', '2031501', 'EDZ17']
['2017-09-22 19:28 Fri', '98.51', '98.5050', '98.495', '', '', '', '', '215600', '2031501', 'EDZ17']
['2017-09-22 19:30 Fri', '98.51', '98.5050', '98.495', '', '', '', '', '215600', '2031501', 'EDZ17']
['2017-09-22 19:31 Fri', '98.51', '98.5050', '98.495', '', '', '', '', '215600', '2031501', 'EDZ17']
['2017-09-22 19:36 Fri', '98.51', '98.5050', '98.495', '', '', '', '', '215600', '2031501', 'EDZ17']
['2017-09-22 19:40 Fri', '98.51', '98.5050', '98.495', '98.5100', '98.4950', '98.9950', '98.3350', '215600', '2031501', 'EDZ17']
['2017-09-22 19:42 Fri', '98.51', '98.5050', '98.495', '', '', '', '', '215600', '2031501', 'EDZ17']
['2017-09-22 19:48 Fri', '98.51', '98.5050', '98.495', '98.5100', '98.4950', '98.9950', '98.3350', '215600', '2031501', 'EDZ17']
['2017-09-22 19:50 Fri', '98.51', '98.5050', '98.495', '', '', '', '', '215600', '2031501', 'EDZ17']
['2017-09-22 19:52 Fri', '98.51', '98.5050', '98.495', '', '', '', '', '215600', '2031501', 'EDZ17']
['2017-09-22 19:54 Fri', '98.51', '98.5050', '98.495', '', '', '', '', '215600', '2031501', 'EDZ17']
['2017-09-22 19:56 Fri', '98.51', '98.5050', '98.495', '98.5100', '98.4950', '98.9950', '98.3350', '215600', '2031501', 'EDZ17']
