['2017-09-22 19:22 Fri', '133.84', '134.31', '', '', '', '', '', '', '', 'EURJPY:CUR']
['2017-09-22 19:27 Fri', '133.84', '134.31', '', '', '', '', '', '', '', 'EURJPY:CUR']
['2017-09-22 19:28 Fri', '133.84', '134.31', '', '', '', '', '', '', '', 'EURJPY:CUR']
['2017-09-22 19:30 Fri', '133.84', '134.31', '', '', '', '', '', '', '', 'EURJPY:CUR']
['2017-09-22 19:31 Fri', '133.84', '134.31', '', '', '', '', '', '', '', 'EURJPY:CUR']
['2017-09-22 19:36 Fri', '133.84', '134.31', '', '', '', '134.41', '112.25', '', '', 'EURJPY:CUR']
['2017-09-22 19:40 Fri', '133.84', '134.31', '', '', '', '134.41', '112.25', '', '', 'EURJPY:CUR']
['2017-09-22 19:42 Fri', '133.84', '134.31', '', '', '', '134.41', '112.25', '', '', 'EURJPY:CUR']
['2017-09-22 19:48 Fri', '133.84', '134.31', '', '', '', '134.41', '112.25', '', '', 'EURJPY:CUR']
['2017-09-22 19:50 Fri', '133.84', '134.31', '', '', '', '134.41', '112.25', '', '', 'EURJPY:CUR']
['2017-09-22 19:52 Fri', '133.84', '134.31', '', '', '', '134.41', '112.25', '', '', 'EURJPY:CUR']
['2017-09-22 19:54 Fri', '133.84', '134.31', '', '', '', '134.41', '112.25', '', '', 'EURJPY:CUR']
['2017-09-22 19:56 Fri', '133.84', '134.31', '', '', '', '134.41', '112.25', '', '', 'EURJPY:CUR']
