['2017-09-22 19:22 Fri', '7266.00', '7264.50', '7214.50', '', '', '', '', '84300', '715254', 'FFIZ7']
['2017-09-22 19:27 Fri', '7266.00', '7264.50', '7214.50', '', '', '', '', '84300', '715254', 'FFIZ7']
['2017-09-22 19:28 Fri', '7266.00', '7264.50', '7214.50', '', '', '', '', '84300', '715254', 'FFIZ7']
['2017-09-22 19:30 Fri', '7266.00', '7264.50', '7214.50', '', '', '', '', '84300', '715254', 'FFIZ7']
['2017-09-22 19:31 Fri', '7266.00', '7264.50', '7214.50', '', '', '', '', '84300', '715254', 'FFIZ7']
['2017-09-22 19:36 Fri', '7266.00', '7264.50', '7214.50', '', '', '', '', '84300', '715254', 'FFIZ7']
['2017-09-22 19:40 Fri', '7266.00', '7264.50', '7214.50', '7279.50', '7190.50', '7455.00', '7061.00', '84300', '715254', 'FFIZ7']
['2017-09-22 19:42 Fri', '7266.00', '7264.50', '7214.50', '', '', '', '', '84300', '715254', 'FFIZ7']
['2017-09-22 19:48 Fri', '7266.00', '7264.50', '7214.50', '7279.50', '7190.50', '7455.00', '7061.00', '84300', '715254', 'FFIZ7']
['2017-09-22 19:50 Fri', '7266.00', '7264.50', '7214.50', '', '', '', '', '84300', '715254', 'FFIZ7']
['2017-09-22 19:52 Fri', '7266.00', '7264.50', '7214.50', '', '', '', '', '84300', '715254', 'FFIZ7']
['2017-09-22 19:54 Fri', '7266.00', '7264.50', '7214.50', '', '', '', '', '84300', '715254', 'FFIZ7']
['2017-09-22 19:56 Fri', '7266.00', '7264.50', '7214.50', '7279.50', '7190.50', '7455.00', '7061.00', '84300', '715254', 'FFIZ7']
