['2017-09-22 19:22 Fri', '7310.64', '7263.90', '7263.90', '', '', '', '', '645030144', '', 'UKX:IND']
['2017-09-22 19:27 Fri', '7310.64', '7263.90', '7263.90', '', '', '', '', '645030144', '', 'UKX:IND']
['2017-09-22 19:28 Fri', '7310.64', '7263.90', '7263.90', '', '', '', '', '645030144', '', 'UKX:IND']
['2017-09-22 19:30 Fri', '7310.64', '7263.90', '7263.90', '', '', '', '', '645030144', '', 'UKX:IND']
['2017-09-22 19:31 Fri', '7310.64', '7263.90', '7263.90', '', '', '', '', '645030144', '', 'UKX:IND']
['2017-09-22 19:36 Fri', '7310.64', '7263.90', '7263.90', '7320.28', '7242.23', '7598.99', '6676.56', '645030144', '', 'UKX:IND']
['2017-09-22 19:40 Fri', '7310.64', '7263.90', '7263.90', '7320.28', '7242.23', '7598.99', '6676.56', '645030144', '', 'UKX:IND']
['2017-09-22 19:42 Fri', '7310.64', '7263.90', '7263.90', '7320.28', '7242.23', '7598.99', '6676.56', '645030144', '', 'UKX:IND']
['2017-09-22 19:48 Fri', '7310.64', '7263.90', '7263.90', '7320.28', '7242.23', '7598.99', '6676.56', '645030144', '', 'UKX:IND']
['2017-09-22 19:50 Fri', '7310.64', '7263.90', '7263.90', '7320.28', '7242.23', '7598.99', '6676.56', '645030144', '', 'UKX:IND']
['2017-09-22 19:52 Fri', '7310.64', '7263.90', '7263.90', '7320.28', '7242.23', '7598.99', '6676.56', '645030144', '', 'UKX:IND']
['2017-09-22 19:54 Fri', '7310.64', '7263.90', '7263.90', '7320.28', '7242.23', '7598.99', '6676.56', '645030144', '', 'UKX:IND']
['2017-09-22 19:56 Fri', '7310.64', '7263.90', '7263.90', '7320.28', '7242.23', '7598.99', '6676.56', '645030144', '', 'UKX:IND']
