['2017-09-22 19:22 Fri', '161.14', '161.12', '161.19', '', '', '', '', '482700', '1681196', 'FGBLZ7']
['2017-09-22 19:27 Fri', '161.14', '161.12', '161.19', '', '', '', '', '482700', '1681196', 'FGBLZ7']
['2017-09-22 19:28 Fri', '161.14', '161.12', '161.19', '', '', '', '', '482700', '1681196', 'FGBLZ7']
['2017-09-22 19:30 Fri', '161.14', '161.12', '161.19', '', '', '', '', '482700', '1681196', 'FGBLZ7']
['2017-09-22 19:31 Fri', '161.14', '161.12', '161.19', '', '', '', '', '482700', '1681196', 'FGBLZ7']
['2017-09-22 19:36 Fri', '161.14', '161.12', '161.19', '', '', '', '', '482700', '1681196', 'FGBLZ7']
['2017-09-22 19:40 Fri', '161.14', '161.12', '161.19', '161.26', '160.88', '163.43', '156.87', '482700', '1681196', 'FGBLZ7']
['2017-09-22 19:42 Fri', '161.14', '161.12', '161.19', '', '', '', '', '482700', '1681196', 'FGBLZ7']
['2017-09-22 19:48 Fri', '161.14', '161.12', '161.19', '161.26', '160.88', '163.43', '156.87', '482700', '1681196', 'FGBLZ7']
['2017-09-22 19:50 Fri', '161.14', '161.12', '161.19', '', '', '', '', '482700', '1681196', 'FGBLZ7']
['2017-09-22 19:52 Fri', '161.14', '161.12', '161.19', '', '', '', '', '482700', '1681196', 'FGBLZ7']
['2017-09-22 19:54 Fri', '161.14', '161.12', '161.19', '', '', '', '', '482700', '1681196', 'FGBLZ7']
['2017-09-22 19:56 Fri', '161.14', '161.12', '161.19', '161.26', '160.88', '163.43', '156.87', '482700', '1681196', 'FGBLZ7']
