['2017-09-22 19:22 Fri', '112.11', '112.095', '112.115', '', '', '', '', '211800', '1250129', 'FGBSZ7']
['2017-09-22 19:27 Fri', '112.11', '112.095', '112.115', '', '', '', '', '211800', '1250129', 'FGBSZ7']
['2017-09-22 19:28 Fri', '112.11', '112.095', '112.115', '', '', '', '', '211800', '1250129', 'FGBSZ7']
['2017-09-22 19:30 Fri', '112.11', '112.095', '112.115', '', '', '', '', '211800', '1250129', 'FGBSZ7']
['2017-09-22 19:31 Fri', '112.11', '112.095', '112.115', '', '', '', '', '211800', '1250129', 'FGBSZ7']
['2017-09-22 19:36 Fri', '112.11', '112.095', '112.115', '', '', '', '', '211800', '1250129', 'FGBSZ7']
['2017-09-22 19:40 Fri', '112.11', '112.095', '112.115', '112.115', '112.085', '112.285', '111.760', '211800', '1250129', 'FGBSZ7']
['2017-09-22 19:42 Fri', '112.11', '112.095', '112.115', '', '', '', '', '211800', '1250129', 'FGBSZ7']
['2017-09-22 19:48 Fri', '112.11', '112.095', '112.115', '112.115', '112.085', '112.285', '111.760', '211800', '1250129', 'FGBSZ7']
['2017-09-22 19:50 Fri', '112.11', '112.095', '112.115', '', '', '', '', '211800', '1250129', 'FGBSZ7']
['2017-09-22 19:52 Fri', '112.11', '112.095', '112.115', '', '', '', '', '211800', '1250129', 'FGBSZ7']
['2017-09-22 19:54 Fri', '112.11', '112.095', '112.115', '', '', '', '', '211800', '1250129', 'FGBSZ7']
['2017-09-22 19:56 Fri', '112.11', '112.095', '112.115', '112.115', '112.085', '112.285', '111.760', '211800', '1250129', 'FGBSZ7']
