['2017-09-22 19:22 Fri', '131.09', '131.07', '131.12', '', '', '', '', '337800', '1371681', 'FGBMZ7']
['2017-09-22 19:27 Fri', '131.09', '131.07', '131.12', '', '', '', '', '337800', '1371681', 'FGBMZ7']
['2017-09-22 19:28 Fri', '131.09', '131.07', '131.12', '', '', '', '', '337800', '1371681', 'FGBMZ7']
['2017-09-22 19:30 Fri', '131.09', '131.07', '131.12', '', '', '', '', '337800', '1371681', 'FGBMZ7']
['2017-09-22 19:31 Fri', '131.09', '131.07', '131.12', '', '', '', '', '337800', '1371681', 'FGBMZ7']
['2017-09-22 19:36 Fri', '131.09', '131.07', '131.12', '', '', '', '', '337800', '1371681', 'FGBMZ7']
['2017-09-22 19:40 Fri', '131.09', '131.07', '131.12', '131.16', '131.00', '131.98', '129.72', '337800', '1371681', 'FGBMZ7']
['2017-09-22 19:42 Fri', '131.09', '131.07', '131.12', '', '', '', '', '337800', '1371681', 'FGBMZ7']
['2017-09-22 19:48 Fri', '131.09', '131.07', '131.12', '131.16', '131.00', '131.98', '129.72', '337800', '1371681', 'FGBMZ7']
['2017-09-22 19:50 Fri', '131.09', '131.07', '131.12', '', '', '', '', '337800', '1371681', 'FGBMZ7']
['2017-09-22 19:52 Fri', '131.09', '131.07', '131.12', '', '', '', '', '337800', '1371681', 'FGBMZ7']
['2017-09-22 19:54 Fri', '131.09', '131.07', '131.12', '', '', '', '', '337800', '1371681', 'FGBMZ7']
['2017-09-22 19:56 Fri', '131.09', '131.07', '131.12', '131.16', '131.00', '131.98', '129.72', '337800', '1371681', 'FGBMZ7']
