['2017-09-22 19:22 Fri', '1300.50', '1297.50', '1294.10', '', '', '', '', '256399', '439574', 'GCZ7']
['2017-09-22 19:27 Fri', '1300.50', '1297.50', '1294.10', '', '', '', '', '256399', '439574', 'GCZ7']
['2017-09-22 19:28 Fri', '1300.50', '1297.50', '1294.10', '', '', '', '', '256399', '439574', 'GCZ7']
['2017-09-22 19:30 Fri', '1300.50', '1297.50', '1294.10', '', '', '', '', '256399', '439574', 'GCZ7']
['2017-09-22 19:31 Fri', '1300.50', '1297.50', '1294.10', '', '', '', '', '256399', '439574', 'GCZ7']
['2017-09-22 19:36 Fri', '1300.50', '1297.50', '1294.10', '', '', '', '', '256399', '439574', 'GCZ7']
['2017-09-22 19:40 Fri', '1300.50', '1297.50', '1294.10', '1301.90', '1294.10', '1363.40', '1139.70', '256399', '439574', 'GCZ7']
['2017-09-22 19:42 Fri', '1300.50', '1297.50', '1294.10', '', '', '', '', '256399', '439574', 'GCZ7']
['2017-09-22 19:48 Fri', '1300.50', '1297.50', '1294.10', '1301.90', '1294.10', '1363.40', '1139.70', '256399', '439574', 'GCZ7']
['2017-09-22 19:50 Fri', '1300.50', '1297.50', '1294.10', '', '', '', '', '256399', '439574', 'GCZ7']
['2017-09-22 19:52 Fri', '1300.50', '1297.50', '1294.10', '', '', '', '', '256399', '439574', 'GCZ7']
['2017-09-22 19:54 Fri', '1300.50', '1297.50', '1294.10', '', '', '', '', '256399', '439574', 'GCZ7']
['2017-09-22 19:56 Fri', '1300.50', '1297.50', '1294.10', '1301.90', '1294.10', '1363.40', '1139.70', '256399', '439574', 'GCZ7']
