['2017-09-22 19:22 Fri', '27783.00', '27784.000', '28007.00', '', '', '', '', '102200', '132483', 'HSIU7']
['2017-09-22 19:27 Fri', '27783.00', '27784.000', '28007.00', '', '', '', '', '102200', '132483', 'HSIU7']
['2017-09-22 19:28 Fri', '27783.00', '27784.000', '28007.00', '', '', '', '', '102200', '132483', 'HSIU7']
['2017-09-22 19:30 Fri', '27783.00', '27784.000', '28007.00', '', '', '', '', '102200', '132483', 'HSIU7']
['2017-09-22 19:31 Fri', '27783.00', '27784.000', '28007.00', '', '', '', '', '102200', '132483', 'HSIU7']
['2017-09-22 19:36 Fri', '27783.00', '27784.000', '28007.00', '', '', '', '', '102200', '132483', 'HSIU7']
['2017-09-22 19:40 Fri', '27783.00', '27784.000', '28007.00', '28010.000', '27771.000', '28225.000', '22512.000', '102200', '132483', 'HSIU7']
['2017-09-22 19:42 Fri', '27783.00', '27784.000', '28007.00', '', '', '', '', '102200', '132483', 'HSIU7']
['2017-09-22 19:48 Fri', '27783.00', '27784.000', '28007.00', '28010.000', '27771.000', '28225.000', '22512.000', '102200', '132483', 'HSIU7']
['2017-09-22 19:50 Fri', '27783.00', '27784.000', '28007.00', '', '', '', '', '102200', '132483', 'HSIU7']
['2017-09-22 19:52 Fri', '27783.00', '27784.000', '28007.00', '', '', '', '', '102200', '132483', 'HSIU7']
['2017-09-22 19:54 Fri', '27783.00', '27784.000', '28007.00', '', '', '', '', '102200', '132483', 'HSIU7']
['2017-09-22 19:56 Fri', '27783.00', '27784.000', '28007.00', '28010.000', '27771.000', '28225.000', '22512.000', '102200', '132483', 'HSIU7']
