['2017-09-22 19:22 Fri', '27880.53', '28110.33', '27949.83', '', '', '', '', '', '', 'HSI']
['2017-09-22 19:27 Fri', '27880.53', '28110.33', '27949.83', '', '', '', '', '', '', 'HSI']
['2017-09-22 19:28 Fri', '27880.53', '28110.33', '27949.83', '', '', '', '', '', '', 'HSI']
['2017-09-22 19:30 Fri', '27880.53', '28110.33', '27949.83', '', '', '', '', '', '', 'HSI']
['2017-09-22 19:31 Fri', '27880.53', '28110.33', '27949.83', '', '', '', '', '', '', 'HSI']
['2017-09-22 19:36 Fri', '27880.53', '28110.33', '27949.83', '', '', '', '', '', '', 'HSI']
['2017-09-22 19:40 Fri', '27880.53', '28110.33', '27949.83', '27960.92', '27845.52', '28248.12', '21488.82', '', '', 'HSI']
['2017-09-22 19:42 Fri', '27880.53', '28110.33', '27949.83', '', '', '', '', '', '', 'HSI']
['2017-09-22 19:48 Fri', '27880.53', '28110.33', '27949.83', '27960.92', '27845.52', '28248.12', '21488.82', '', '', 'HSI']
['2017-09-22 19:50 Fri', '27880.53', '28110.33', '27949.83', '', '', '', '', '', '', 'HSI']
['2017-09-22 19:52 Fri', '27880.53', '28110.33', '27949.83', '', '', '', '', '', '', 'HSI']
['2017-09-22 19:54 Fri', '27880.53', '28110.33', '27949.83', '', '', '', '', '', '', 'HSI']
['2017-09-22 19:56 Fri', '27880.53', '28110.33', '27949.83', '27960.92', '27845.52', '28248.12', '21488.82', '', '', 'HSI']
