['2017-09-22 19:22 Fri', '2.107', '2.110', '2.106', '', '', '', '', '0', '', 'GBTPGR10:IND']
['2017-09-22 19:27 Fri', '2.107', '2.110', '2.106', '', '', '', '', '0', '', 'GBTPGR10:IND']
['2017-09-22 19:28 Fri', '2.107', '2.110', '2.106', '', '', '', '', '0', '', 'GBTPGR10:IND']
['2017-09-22 19:30 Fri', '2.107', '2.110', '2.106', '', '', '', '', '0', '', 'GBTPGR10:IND']
['2017-09-22 19:31 Fri', '2.107', '2.110', '2.106', '', '', '', '', '0', '', 'GBTPGR10:IND']
['2017-09-22 19:36 Fri', '2.107', '2.110', '2.106', '2.111', '2.085', '2.423', '1.164', '0', '', 'GBTPGR10:IND']
['2017-09-22 19:40 Fri', '2.107', '2.110', '2.106', '2.111', '2.085', '2.423', '1.164', '0', '', 'GBTPGR10:IND']
['2017-09-22 19:42 Fri', '2.107', '2.110', '2.106', '2.111', '2.085', '2.423', '1.164', '0', '', 'GBTPGR10:IND']
['2017-09-22 19:48 Fri', '2.107', '2.110', '2.106', '2.111', '2.085', '2.423', '1.164', '0', '', 'GBTPGR10:IND']
['2017-09-22 19:50 Fri', '2.107', '2.110', '2.106', '2.111', '2.085', '2.423', '1.164', '0', '', 'GBTPGR10:IND']
['2017-09-22 19:52 Fri', '2.107', '2.110', '2.106', '2.111', '2.085', '2.423', '1.164', '0', '', 'GBTPGR10:IND']
['2017-09-22 19:54 Fri', '2.107', '2.110', '2.106', '2.111', '2.085', '2.423', '1.164', '0', '', 'GBTPGR10:IND']
['2017-09-22 19:56 Fri', '2.107', '2.110', '2.106', '2.111', '2.085', '2.423', '1.164', '0', '', 'GBTPGR10:IND']
