['2017-09-22 19:22 Fri', '22530.83', '22491.73', '22449.00', '', '', '', '', '322014496', '', 'FTSEMIB:IND']
['2017-09-22 19:27 Fri', '22530.83', '22491.73', '22449.00', '', '', '', '', '322014496', '', 'FTSEMIB:IND']
['2017-09-22 19:28 Fri', '22530.83', '22491.73', '22449.00', '', '', '', '', '322014496', '', 'FTSEMIB:IND']
['2017-09-22 19:30 Fri', '22530.83', '22491.73', '22449.00', '', '', '', '', '322014496', '', 'FTSEMIB:IND']
['2017-09-22 19:31 Fri', '22530.83', '22491.73', '22449.00', '', '', '', '', '322014496', '', 'FTSEMIB:IND']
['2017-09-22 19:36 Fri', '22530.83', '22491.73', '22449.00', '22613.48', '22437.91', '22613.48', '15922.35', '322014496', '', 'FTSEMIB:IND']
['2017-09-22 19:40 Fri', '22530.83', '22491.73', '22449.00', '22613.48', '22437.91', '22613.48', '15922.35', '322014496', '', 'FTSEMIB:IND']
['2017-09-22 19:42 Fri', '22530.83', '22491.73', '22449.00', '22613.48', '22437.91', '22613.48', '15922.35', '322014496', '', 'FTSEMIB:IND']
['2017-09-22 19:48 Fri', '22530.83', '22491.73', '22449.00', '22613.48', '22437.91', '22613.48', '15922.35', '322014496', '', 'FTSEMIB:IND']
['2017-09-22 19:50 Fri', '22530.83', '22491.73', '22449.00', '22613.48', '22437.91', '22613.48', '15922.35', '322014496', '', 'FTSEMIB:IND']
['2017-09-22 19:52 Fri', '22530.83', '22491.73', '22449.00', '22613.48', '22437.91', '22613.48', '15922.35', '322014496', '', 'FTSEMIB:IND']
['2017-09-22 19:54 Fri', '22530.83', '22491.73', '22449.00', '22613.48', '22437.91', '22613.48', '15922.35', '322014496', '', 'FTSEMIB:IND']
['2017-09-22 19:56 Fri', '22530.83', '22491.73', '22449.00', '22613.48', '22437.91', '22613.48', '15922.35', '322014496', '', 'FTSEMIB:IND']
