['2017-09-22 19:22 Fri', '5936.25', '5935.75', '5944.25', '', '', '', '', '270500', '265850', 'NQZ7']
['2017-09-22 19:27 Fri', '5936.25', '5935.75', '5944.25', '', '', '', '', '270500', '265850', 'NQZ7']
['2017-09-22 19:28 Fri', '5936.25', '5935.75', '5944.25', '', '', '', '', '270500', '265850', 'NQZ7']
['2017-09-22 19:30 Fri', '5936.25', '5935.75', '5944.25', '', '', '', '', '270500', '265850', 'NQZ7']
['2017-09-22 19:31 Fri', '5936.25', '5935.75', '5944.25', '', '', '', '', '270500', '265850', 'NQZ7']
['2017-09-22 19:36 Fri', '5936.25', '5935.75', '5944.25', '', '', '', '', '270500', '265850', 'NQZ7']
['2017-09-22 19:40 Fri', '5936.25', '5935.75', '5944.25', '5945.50', '5911.00', '6025.75', '4694.00', '270500', '265850', 'NQZ7']
['2017-09-22 19:42 Fri', '5936.25', '5935.75', '5944.25', '', '', '', '', '270500', '265850', 'NQZ7']
['2017-09-22 19:48 Fri', '5936.25', '5935.75', '5944.25', '5945.50', '5911.00', '6025.75', '4694.00', '270500', '265850', 'NQZ7']
['2017-09-22 19:50 Fri', '5936.25', '5935.75', '5944.25', '', '', '', '', '270500', '265850', 'NQZ7']
['2017-09-22 19:52 Fri', '5936.25', '5935.75', '5944.25', '', '', '', '', '270500', '265850', 'NQZ7']
['2017-09-22 19:54 Fri', '5936.25', '5935.75', '5944.25', '', '', '', '', '270500', '265850', 'NQZ7']
['2017-09-22 19:56 Fri', '5936.25', '5935.75', '5944.25', '5945.50', '5911.00', '6025.75', '4694.00', '270500', '265850', 'NQZ7']
