['2017-09-22 19:22 Fri', '5932.320', '5934.914', '5912.195', '', '', '', '', '128249224', '', 'NDX:IND']
['2017-09-22 19:27 Fri', '5932.320', '5934.914', '5912.195', '', '', '', '', '128249224', '', 'NDX:IND']
['2017-09-22 19:28 Fri', '5932.320', '5934.914', '5912.195', '', '', '', '', '128249224', '', 'NDX:IND']
['2017-09-22 19:30 Fri', '5932.320', '5934.914', '5912.195', '', '', '', '', '128249224', '', 'NDX:IND']
['2017-09-22 19:31 Fri', '5932.320', '5934.914', '5912.195', '', '', '', '', '128249224', '', 'NDX:IND']
['2017-09-22 19:36 Fri', '5932.320', '5934.914', '5912.195', '5937.590', '5911.480', '6012.954', '4647.590', '128249224', '', 'NDX:IND']
['2017-09-22 19:40 Fri', '5932.320', '5934.914', '5912.195', '5937.590', '5911.480', '6012.954', '4647.590', '128249224', '', 'NDX:IND']
['2017-09-22 19:42 Fri', '5932.320', '5934.914', '5912.195', '5937.590', '5911.480', '6012.954', '4647.590', '128249224', '', 'NDX:IND']
['2017-09-22 19:48 Fri', '5932.320', '5934.914', '5912.195', '5937.590', '5911.480', '6012.954', '4647.590', '128249224', '', 'NDX:IND']
['2017-09-22 19:50 Fri', '5932.320', '5934.914', '5912.195', '5937.590', '5911.480', '6012.954', '4647.590', '128249224', '', 'NDX:IND']
['2017-09-22 19:52 Fri', '5932.320', '5934.914', '5912.195', '5937.590', '5911.480', '6012.954', '4647.590', '128249224', '', 'NDX:IND']
['2017-09-22 19:54 Fri', '5932.320', '5934.914', '5912.195', '5937.590', '5911.480', '6012.954', '4647.590', '128249224', '', 'NDX:IND']
['2017-09-22 19:56 Fri', '5932.320', '5934.914', '5912.195', '5937.590', '5911.480', '6012.954', '4647.590', '128249224', '', 'NDX:IND']
