['2017-09-22 19:22 Fri', '3.01', '3.021', '3.026', '', '', '', '', '94100', '284926', 'NGX17']
['2017-09-22 19:27 Fri', '3.01', '3.021', '3.026', '', '', '', '', '94100', '284926', 'NGX17']
['2017-09-22 19:28 Fri', '3.01', '3.021', '3.026', '', '', '', '', '94100', '284926', 'NGX17']
['2017-09-22 19:30 Fri', '3.01', '3.021', '3.026', '', '', '', '', '94100', '284926', 'NGX17']
['2017-09-22 19:31 Fri', '3.01', '3.021', '3.026', '', '', '', '', '94100', '284926', 'NGX17']
['2017-09-22 19:36 Fri', '3.01', '3.021', '3.026', '', '', '', '', '94100', '284926', 'NGX17']
['2017-09-22 19:40 Fri', '3.01', '3.021', '3.026', '3.037', '3.008', '3.654', '2.867', '94100', '284926', 'NGX17']
['2017-09-22 19:42 Fri', '3.01', '3.021', '3.026', '', '', '', '', '94100', '284926', 'NGX17']
['2017-09-22 19:48 Fri', '3.01', '3.021', '3.026', '3.037', '3.008', '3.654', '2.867', '94100', '284926', 'NGX17']
['2017-09-22 19:50 Fri', '3.01', '3.021', '3.026', '', '', '', '', '94100', '284926', 'NGX17']
['2017-09-22 19:52 Fri', '3.01', '3.021', '3.026', '', '', '', '', '94100', '284926', 'NGX17']
['2017-09-22 19:54 Fri', '3.01', '3.021', '3.026', '', '', '', '', '94100', '284926', 'NGX17']
['2017-09-22 19:56 Fri', '3.01', '3.021', '3.026', '3.037', '3.008', '3.654', '2.867', '94100', '284926', 'NGX17']
