['2017-09-22 19:22 Fri', '20195', '20200', '20235', '', '', '', '', '27900', '55895', 'NIYZ7']
['2017-09-22 19:27 Fri', '20195', '20200', '20235', '', '', '', '', '27900', '55895', 'NIYZ7']
['2017-09-22 19:28 Fri', '20195', '20200', '20235', '', '', '', '', '27900', '55895', 'NIYZ7']
['2017-09-22 19:30 Fri', '20195', '20200', '20235', '', '', '', '', '27900', '55895', 'NIYZ7']
['2017-09-22 19:31 Fri', '20195', '20200', '20235', '', '', '', '', '27900', '55895', 'NIYZ7']
['2017-09-22 19:36 Fri', '20195', '20200', '20235', '', '', '', '', '27900', '55895', 'NIYZ7']
['2017-09-22 19:40 Fri', '20195', '20200', '20235', '20285', '20125', '20365', '19010', '27900', '55895', 'NIYZ7']
['2017-09-22 19:42 Fri', '20195', '20200', '20235', '', '', '', '', '27900', '55895', 'NIYZ7']
['2017-09-22 19:48 Fri', '20195', '20200', '20235', '20285', '20125', '20365', '19010', '27900', '55895', 'NIYZ7']
['2017-09-22 19:50 Fri', '20195', '20200', '20235', '', '', '', '', '27900', '55895', 'NIYZ7']
['2017-09-22 19:52 Fri', '20195', '20200', '20235', '', '', '', '', '27900', '55895', 'NIYZ7']
['2017-09-22 19:54 Fri', '20195', '20200', '20235', '', '', '', '', '27900', '55895', 'NIYZ7']
['2017-09-22 19:56 Fri', '20195', '20200', '20235', '20285', '20125', '20365', '19010', '27900', '55895', 'NIYZ7']
