['2017-09-22 19:22 Fri', '20296.45', '20347.48', '20413.61', '', '', '', '', '', '', 'NIK']
['2017-09-22 19:27 Fri', '20296.45', '20347.48', '20413.61', '', '', '', '', '', '', 'NIK']
['2017-09-22 19:28 Fri', '20296.45', '20347.48', '20413.61', '', '', '', '', '', '', 'NIK']
['2017-09-22 19:30 Fri', '20296.45', '20347.48', '20413.61', '', '', '', '', '', '', 'NIK']
['2017-09-22 19:31 Fri', '20296.45', '20347.48', '20413.61', '', '', '', '', '', '', 'NIK']
['2017-09-22 19:36 Fri', '20296.45', '20347.48', '20413.61', '', '', '', '', '', '', 'NIK']
['2017-09-22 19:40 Fri', '20296.45', '20347.48', '20413.61', '20417.07', '20249.24', '20481.27', '16111.81', '', '', 'NIK']
['2017-09-22 19:42 Fri', '20296.45', '20347.48', '20413.61', '', '', '', '', '', '', 'NIK']
['2017-09-22 19:48 Fri', '20296.45', '20347.48', '20413.61', '20417.07', '20249.24', '20481.27', '16111.81', '', '', 'NIK']
['2017-09-22 19:50 Fri', '20296.45', '20347.48', '20413.61', '', '', '', '', '', '', 'NIK']
['2017-09-22 19:52 Fri', '20296.45', '20347.48', '20413.61', '', '', '', '', '', '', 'NIK']
['2017-09-22 19:54 Fri', '20296.45', '20347.48', '20413.61', '', '', '', '', '', '', 'NIK']
['2017-09-22 19:56 Fri', '20296.45', '20347.48', '20413.61', '20417.07', '20249.24', '20481.27', '16111.81', '', '', 'NIK']
