['2017-09-22 19:22 Fri', '1450.60', '1451.20', '1444.00', '', '', '', '', '51100', '60445', 'TFSZ7']
['2017-09-22 19:27 Fri', '1450.60', '1451.20', '1444.00', '', '', '', '', '51100', '60445', 'TFSZ7']
['2017-09-22 19:28 Fri', '1450.60', '1451.20', '1444.00', '', '', '', '', '51100', '60445', 'TFSZ7']
['2017-09-22 19:30 Fri', '1450.60', '1451.20', '1444.00', '', '', '', '', '51100', '60445', 'TFSZ7']
['2017-09-22 19:31 Fri', '1450.60', '1451.20', '1444.00', '', '', '', '', '51100', '60445', 'TFSZ7']
['2017-09-22 19:36 Fri', '1450.60', '1451.20', '1444.00', '', '', '', '', '51100', '60445', 'TFSZ7']
['2017-09-22 19:40 Fri', '1450.60', '1451.20', '1444.00', '1453.80', '1438.50', '1453.80', '1349.10', '51100', '60445', 'TFSZ7']
['2017-09-22 19:42 Fri', '1450.60', '1451.20', '1444.00', '', '', '', '', '51100', '60445', 'TFSZ7']
['2017-09-22 19:48 Fri', '1450.60', '1451.20', '1444.00', '1453.80', '1438.50', '1453.80', '1349.10', '51100', '60445', 'TFSZ7']
['2017-09-22 19:50 Fri', '1450.60', '1451.20', '1444.00', '', '', '', '', '51100', '60445', 'TFSZ7']
['2017-09-22 19:52 Fri', '1450.60', '1451.20', '1444.00', '', '', '', '', '51100', '60445', 'TFSZ7']
['2017-09-22 19:54 Fri', '1450.60', '1451.20', '1444.00', '', '', '', '', '51100', '60445', 'TFSZ7']
['2017-09-22 19:56 Fri', '1450.60', '1451.20', '1444.00', '1453.80', '1438.50', '1453.80', '1349.10', '51100', '60445', 'TFSZ7']
