['2017-09-22 19:22 Fri', '1450.781', '1444.184', '1443.470', '', '', '', '', '259618608', '', 'RTY:IND']
['2017-09-22 19:27 Fri', '1450.781', '1444.184', '1443.470', '', '', '', '', '259618608', '', 'RTY:IND']
['2017-09-22 19:28 Fri', '1450.781', '1444.184', '1443.470', '', '', '', '', '259618608', '', 'RTY:IND']
['2017-09-22 19:30 Fri', '1450.781', '1444.184', '1443.470', '', '', '', '', '259618608', '', 'RTY:IND']
['2017-09-22 19:31 Fri', '1450.781', '1444.184', '1443.470', '', '', '', '', '259618608', '', 'RTY:IND']
['2017-09-22 19:36 Fri', '1450.781', '1444.184', '1443.470', '1451.506', '1441.865', '1452.091', '1156.085', '259618608', '', 'RTY:IND']
['2017-09-22 19:40 Fri', '1450.781', '1444.184', '1443.470', '1451.506', '1441.865', '1452.091', '1156.085', '259618608', '', 'RTY:IND']
['2017-09-22 19:42 Fri', '1450.781', '1444.184', '1443.470', '1451.506', '1441.865', '1452.091', '1156.085', '259618608', '', 'RTY:IND']
['2017-09-22 19:48 Fri', '1450.781', '1444.184', '1443.470', '1451.506', '1441.865', '1452.091', '1156.085', '259618608', '', 'RTY:IND']
['2017-09-22 19:50 Fri', '1450.781', '1444.184', '1443.470', '1451.506', '1441.865', '1452.091', '1156.085', '259618608', '', 'RTY:IND']
['2017-09-22 19:52 Fri', '1450.781', '1444.184', '1443.470', '1451.506', '1441.865', '1452.091', '1156.085', '259618608', '', 'RTY:IND']
['2017-09-22 19:54 Fri', '1450.781', '1444.184', '1443.470', '1451.506', '1441.865', '1452.091', '1156.085', '259618608', '', 'RTY:IND']
['2017-09-22 19:56 Fri', '1450.781', '1444.184', '1443.470', '1451.506', '1441.865', '1452.091', '1156.085', '259618608', '', 'RTY:IND']
