['2017-09-22 19:22 Fri', '17.035', '16.984', '17.035', '', '', '', '', '52200', '151569', 'SIZ7']
['2017-09-22 19:27 Fri', '17.035', '16.984', '17.035', '', '', '', '', '52200', '151569', 'SIZ7']
['2017-09-22 19:28 Fri', '17.035', '16.984', '17.035', '', '', '', '', '52200', '151569', 'SIZ7']
['2017-09-22 19:30 Fri', '17.035', '16.984', '17.035', '', '', '', '', '52200', '151569', 'SIZ7']
['2017-09-22 19:31 Fri', '17.035', '16.984', '17.035', '', '', '', '', '52200', '151569', 'SIZ7']
['2017-09-22 19:36 Fri', '17.035', '16.984', '17.035', '', '', '', '', '52200', '151569', 'SIZ7']
['2017-09-22 19:40 Fri', '17.035', '16.984', '17.035', '17.100', '16.940', '20.355', '14.440', '52200', '151569', 'SIZ7']
['2017-09-22 19:42 Fri', '17.035', '16.984', '17.035', '', '', '', '', '52200', '151569', 'SIZ7']
['2017-09-22 19:48 Fri', '17.035', '16.984', '17.035', '17.100', '16.940', '20.355', '14.440', '52200', '151569', 'SIZ7']
['2017-09-22 19:50 Fri', '17.035', '16.984', '17.035', '', '', '', '', '52200', '151569', 'SIZ7']
['2017-09-22 19:52 Fri', '17.035', '16.984', '17.035', '', '', '', '', '52200', '151569', 'SIZ7']
['2017-09-22 19:54 Fri', '17.035', '16.984', '17.035', '', '', '', '', '52200', '151569', 'SIZ7']
['2017-09-22 19:56 Fri', '17.035', '16.984', '17.035', '17.100', '16.940', '20.355', '14.440', '52200', '151569', 'SIZ7']
