['2017-09-22 19:22 Fri', '16.9986', '16.9630', '', '', '', '', '', '', '', 'XAG:CUR']
['2017-09-22 19:27 Fri', '16.9986', '16.9630', '', '', '', '', '', '', '', 'XAG:CUR']
['2017-09-22 19:28 Fri', '16.9986', '16.9630', '', '', '', '', '', '', '', 'XAG:CUR']
['2017-09-22 19:30 Fri', '16.9986', '16.9630', '', '', '', '', '', '', '', 'XAG:CUR']
['2017-09-22 19:31 Fri', '16.9986', '16.9630', '', '', '', '', '', '', '', 'XAG:CUR']
['2017-09-22 19:36 Fri', '16.9986', '16.9630', '', '', '', '19.9432', '15.1892', '', '', 'XAG:CUR']
['2017-09-22 19:40 Fri', '16.9986', '16.9630', '', '', '', '19.9432', '15.1892', '', '', 'XAG:CUR']
['2017-09-22 19:42 Fri', '16.9986', '16.9630', '', '', '', '19.9432', '15.1892', '', '', 'XAG:CUR']
['2017-09-22 19:48 Fri', '16.9986', '16.9630', '', '', '', '19.9432', '15.1892', '', '', 'XAG:CUR']
['2017-09-22 19:50 Fri', '16.9986', '16.9630', '', '', '', '19.9432', '15.1892', '', '', 'XAG:CUR']
['2017-09-22 19:52 Fri', '16.9986', '16.9630', '', '', '', '19.9432', '15.1892', '', '', 'XAG:CUR']
['2017-09-22 19:54 Fri', '16.9986', '16.9630', '', '', '', '19.9432', '15.1892', '', '', 'XAG:CUR']
['2017-09-22 19:56 Fri', '16.9986', '16.9630', '', '', '', '19.9432', '15.1892', '', '', 'XAG:CUR']
