['2017-09-22 19:22 Fri', '985.25', '984.25', '970.00', '', '', '', '', '155600', '355613', 'SX7']
['2017-09-22 19:27 Fri', '985.25', '984.25', '970.00', '', '', '', '', '155600', '355613', 'SX7']
['2017-09-22 19:28 Fri', '985.25', '984.25', '970.00', '', '', '', '', '155600', '355613', 'SX7']
['2017-09-22 19:30 Fri', '985.25', '984.25', '970.00', '', '', '', '', '155600', '355613', 'SX7']
['2017-09-22 19:31 Fri', '985.25', '984.25', '970.00', '', '', '', '', '155600', '355613', 'SX7']
['2017-09-22 19:36 Fri', '985.25', '984.25', '970.00', '', '', '', '', '155600', '355613', 'SX7']
['2017-09-22 19:40 Fri', '985.25', '984.25', '970.00', '987.00', '969.00', '1047.00', '907.00', '155600', '355613', 'SX7']
['2017-09-22 19:42 Fri', '985.25', '984.25', '970.00', '', '', '', '', '155600', '355613', 'SX7']
['2017-09-22 19:48 Fri', '985.25', '984.25', '970.00', '987.00', '969.00', '1047.00', '907.00', '155600', '355613', 'SX7']
['2017-09-22 19:50 Fri', '985.25', '984.25', '970.00', '', '', '', '', '155600', '355613', 'SX7']
['2017-09-22 19:52 Fri', '985.25', '984.25', '970.00', '', '', '', '', '155600', '355613', 'SX7']
['2017-09-22 19:54 Fri', '985.25', '984.25', '970.00', '', '', '', '', '155600', '355613', 'SX7']
['2017-09-22 19:56 Fri', '985.25', '984.25', '970.00', '987.00', '969.00', '1047.00', '907.00', '155600', '355613', 'SX7']
