['2017-09-22 19:22 Fri', '2502.22', '2500.60', '2497.26', '', '', '', '', '463948288', '', 'SPX:IND']
['2017-09-22 19:27 Fri', '2502.22', '2500.60', '2497.26', '', '', '', '', '463948288', '', 'SPX:IND']
['2017-09-22 19:28 Fri', '2502.22', '2500.60', '2497.26', '', '', '', '', '463948288', '', 'SPX:IND']
['2017-09-22 19:30 Fri', '2502.22', '2500.60', '2497.26', '', '', '', '', '463948288', '', 'SPX:IND']
['2017-09-22 19:31 Fri', '2502.22', '2500.60', '2497.26', '', '', '', '', '463948288', '', 'SPX:IND']
['2017-09-22 19:36 Fri', '2502.22', '2500.60', '2497.26', '2503.47', '2496.54', '2508.85', '2083.79', '463948288', '', 'SPX:IND']
['2017-09-22 19:40 Fri', '2502.22', '2500.60', '2497.26', '2503.47', '2496.54', '2508.85', '2083.79', '463948288', '', 'SPX:IND']
['2017-09-22 19:42 Fri', '2502.22', '2500.60', '2497.26', '2503.47', '2496.54', '2508.85', '2083.79', '463948288', '', 'SPX:IND']
['2017-09-22 19:48 Fri', '2502.22', '2500.60', '2497.26', '2503.47', '2496.54', '2508.85', '2083.79', '463948288', '', 'SPX:IND']
['2017-09-22 19:50 Fri', '2502.22', '2500.60', '2497.26', '2503.47', '2496.54', '2508.85', '2083.79', '463948288', '', 'SPX:IND']
['2017-09-22 19:52 Fri', '2502.22', '2500.60', '2497.26', '2503.47', '2496.54', '2508.85', '2083.79', '463948288', '', 'SPX:IND']
['2017-09-22 19:54 Fri', '2502.22', '2500.60', '2497.26', '2503.47', '2496.54', '2508.85', '2083.79', '463948288', '', 'SPX:IND']
['2017-09-22 19:56 Fri', '2502.22', '2500.60', '2497.26', '2503.47', '2496.54', '2508.85', '2083.79', '463948288', '', 'SPX:IND']
