['2017-09-22 19:22 Fri', '249.44', '249.39', '249.05', '', '', '', '', '51203518', '', 'SPY:US']
['2017-09-22 19:27 Fri', '249.44', '249.39', '249.05', '', '', '', '', '51203648', '', 'SPY:US']
['2017-09-22 19:28 Fri', '249.44', '249.39', '249.05', '', '', '', '', '51203648', '', 'SPY:US']
['2017-09-22 19:30 Fri', '249.44', '249.39', '249.05', '', '', '', '', '51203948', '', 'SPY:US']
['2017-09-22 19:31 Fri', '249.44', '249.39', '249.05', '', '', '', '', '51203948', '', 'SPY:US']
['2017-09-22 19:36 Fri', '249.44', '249.39', '249.05', '249.63', '249.02', '250.32', '208.38', '51205958', '', 'SPY:US']
['2017-09-22 19:40 Fri', '249.44', '249.39', '249.05', '249.63', '249.02', '250.32', '208.38', '51205958', '', 'SPY:US']
['2017-09-22 19:42 Fri', '249.44', '249.39', '249.05', '249.63', '249.02', '250.32', '208.38', '51206758', '', 'SPY:US']
['2017-09-22 19:48 Fri', '249.44', '249.39', '249.05', '249.63', '249.02', '250.32', '208.38', '51208758', '', 'SPY:US']
['2017-09-22 19:50 Fri', '249.44', '249.39', '249.05', '249.63', '249.02', '250.32', '208.38', '51210458', '', 'SPY:US']
['2017-09-22 19:52 Fri', '249.44', '249.39', '249.05', '249.63', '249.02', '250.32', '208.38', '51210458', '', 'SPY:US']
['2017-09-22 19:54 Fri', '249.44', '249.39', '249.05', '249.63', '249.02', '250.32', '208.38', '51210458', '', 'SPY:US']
['2017-09-22 19:56 Fri', '249.44', '249.39', '249.05', '249.63', '249.02', '250.32', '208.38', '51210458', '', 'SPY:US']
