['2017-09-22 19:22 Fri', '3530.00', '3528.00', '3519.00', '', '', '', '', '492000', '3270242', 'STXEZ7']
['2017-09-22 19:27 Fri', '3530.00', '3528.00', '3519.00', '', '', '', '', '492000', '3270242', 'STXEZ7']
['2017-09-22 19:28 Fri', '3530.00', '3528.00', '3519.00', '', '', '', '', '492000', '3270242', 'STXEZ7']
['2017-09-22 19:30 Fri', '3530.00', '3528.00', '3519.00', '', '', '', '', '492000', '3270242', 'STXEZ7']
['2017-09-22 19:31 Fri', '3530.00', '3528.00', '3519.00', '', '', '', '', '492000', '3270242', 'STXEZ7']
['2017-09-22 19:36 Fri', '3530.00', '3528.00', '3519.00', '', '', '', '', '492000', '3270242', 'STXEZ7']
['2017-09-22 19:40 Fri', '3530.00', '3528.00', '3519.00', '3540.00', '3517.00', '3614.00', '3200.00', '492000', '3270242', 'STXEZ7']
['2017-09-22 19:42 Fri', '3530.00', '3528.00', '3519.00', '', '', '', '', '492000', '3270242', 'STXEZ7']
['2017-09-22 19:48 Fri', '3530.00', '3528.00', '3519.00', '3540.00', '3517.00', '3614.00', '3200.00', '492000', '3270242', 'STXEZ7']
['2017-09-22 19:50 Fri', '3530.00', '3528.00', '3519.00', '', '', '', '', '492000', '3270242', 'STXEZ7']
['2017-09-22 19:52 Fri', '3530.00', '3528.00', '3519.00', '', '', '', '', '492000', '3270242', 'STXEZ7']
['2017-09-22 19:54 Fri', '3530.00', '3528.00', '3519.00', '', '', '', '', '492000', '3270242', 'STXEZ7']
['2017-09-22 19:56 Fri', '3530.00', '3528.00', '3519.00', '3540.00', '3517.00', '3614.00', '3200.00', '492000', '3270242', 'STXEZ7']
