['2017-09-22 19:22 Fri', '3541.42', '3539.59', '3534.27', '', '', '', '', '360372160', '', 'SX5E:IND']
['2017-09-22 19:27 Fri', '3541.42', '3539.59', '3534.27', '', '', '', '', '360372160', '', 'SX5E:IND']
['2017-09-22 19:28 Fri', '3541.42', '3539.59', '3534.27', '', '', '', '', '360372160', '', 'SX5E:IND']
['2017-09-22 19:30 Fri', '3541.42', '3539.59', '3534.27', '', '', '', '', '360372160', '', 'SX5E:IND']
['2017-09-22 19:31 Fri', '3541.42', '3539.59', '3534.27', '', '', '', '', '360372160', '', 'SX5E:IND']
['2017-09-22 19:36 Fri', '3541.42', '3539.59', '3534.27', '3553.08', '3532.39', '3666.80', '2922.82', '360372160', '', 'SX5E:IND']
['2017-09-22 19:40 Fri', '3541.42', '3539.59', '3534.27', '3553.08', '3532.39', '3666.80', '2922.82', '360372160', '', 'SX5E:IND']
['2017-09-22 19:42 Fri', '3541.42', '3539.59', '3534.27', '3553.08', '3532.39', '3666.80', '2922.82', '360372160', '', 'SX5E:IND']
['2017-09-22 19:48 Fri', '3541.42', '3539.59', '3534.27', '3553.08', '3532.39', '3666.80', '2922.82', '360372160', '', 'SX5E:IND']
['2017-09-22 19:50 Fri', '3541.42', '3539.59', '3534.27', '3553.08', '3532.39', '3666.80', '2922.82', '360372160', '', 'SX5E:IND']
['2017-09-22 19:52 Fri', '3541.42', '3539.59', '3534.27', '3553.08', '3532.39', '3666.80', '2922.82', '360372160', '', 'SX5E:IND']
['2017-09-22 19:54 Fri', '3541.42', '3539.59', '3534.27', '3553.08', '3532.39', '3666.80', '2922.82', '360372160', '', 'SX5E:IND']
['2017-09-22 19:56 Fri', '3541.42', '3539.59', '3534.27', '3553.08', '3532.39', '3666.80', '2922.82', '360372160', '', 'SX5E:IND']
