['2017-09-22 19:22 Fri', '382.00', '381.40', '380.60', '', '', '', '', '21600', '266883', 'FXXPZ7']
['2017-09-22 19:27 Fri', '382.00', '381.40', '380.60', '', '', '', '', '21600', '266883', 'FXXPZ7']
['2017-09-22 19:28 Fri', '382.00', '381.40', '380.60', '', '', '', '', '21600', '266883', 'FXXPZ7']
['2017-09-22 19:30 Fri', '382.00', '381.40', '380.60', '', '', '', '', '21600', '266883', 'FXXPZ7']
['2017-09-22 19:31 Fri', '382.00', '381.40', '380.60', '', '', '', '', '21600', '266883', 'FXXPZ7']
['2017-09-22 19:36 Fri', '382.00', '381.40', '380.60', '', '', '', '', '21600', '266883', 'FXXPZ7']
['2017-09-22 19:40 Fri', '382.00', '381.40', '380.60', '382.10', '380.30', '385.00', '364.50', '21600', '266883', 'FXXPZ7']
['2017-09-22 19:42 Fri', '382.00', '381.40', '380.60', '', '', '', '', '21600', '266883', 'FXXPZ7']
['2017-09-22 19:48 Fri', '382.00', '381.40', '380.60', '382.10', '380.30', '385.00', '364.50', '21600', '266883', 'FXXPZ7']
['2017-09-22 19:50 Fri', '382.00', '381.40', '380.60', '', '', '', '', '21600', '266883', 'FXXPZ7']
['2017-09-22 19:52 Fri', '382.00', '381.40', '380.60', '', '', '', '', '21600', '266883', 'FXXPZ7']
['2017-09-22 19:54 Fri', '382.00', '381.40', '380.60', '', '', '', '', '21600', '266883', 'FXXPZ7']
['2017-09-22 19:56 Fri', '382.00', '381.40', '380.60', '382.10', '380.30', '385.00', '364.50', '21600', '266883', 'FXXPZ7']
