['2017-09-22 19:22 Fri', '383.22', '382.88', '382.26', '', '', '', '', '', '', 'SXXP']
['2017-09-22 19:27 Fri', '383.22', '382.88', '382.26', '', '', '', '', '', '', 'SXXP']
['2017-09-22 19:28 Fri', '383.22', '382.88', '382.26', '', '', '', '', '', '', 'SXXP']
['2017-09-22 19:30 Fri', '383.22', '382.88', '382.26', '', '', '', '', '', '', 'SXXP']
['2017-09-22 19:31 Fri', '383.22', '382.88', '382.26', '', '', '', '', '', '', 'SXXP']
['2017-09-22 19:36 Fri', '383.22', '382.88', '382.26', '', '', '', '', '', '', 'SXXP']
['2017-09-22 19:40 Fri', '383.22', '382.88', '382.26', '383.68', '382.07', '396.55', '327.02', '', '', 'SXXP']
['2017-09-22 19:42 Fri', '383.22', '382.88', '382.26', '', '', '', '', '', '', 'SXXP']
['2017-09-22 19:48 Fri', '383.22', '382.88', '382.26', '383.68', '382.07', '396.55', '327.02', '', '', 'SXXP']
['2017-09-22 19:50 Fri', '383.22', '382.88', '382.26', '', '', '', '', '', '', 'SXXP']
['2017-09-22 19:52 Fri', '383.22', '382.88', '382.26', '', '', '', '', '', '', 'SXXP']
['2017-09-22 19:54 Fri', '383.22', '382.88', '382.26', '', '', '', '', '', '', 'SXXP']
['2017-09-22 19:56 Fri', '383.22', '382.88', '382.26', '383.68', '382.07', '396.55', '327.02', '', '', 'SXXP']
