['2017-09-22 19:22 Fri', '125.828', '125.734', '125.594', '', '', '', '', '1200000', '3179840', 'TYZ7']
['2017-09-22 19:27 Fri', '125.828', '125.734', '125.594', '', '', '', '', '1200000', '3179840', 'TYZ7']
['2017-09-22 19:28 Fri', '125.828', '125.734', '125.594', '', '', '', '', '1200000', '3179840', 'TYZ7']
['2017-09-22 19:30 Fri', '125.828', '125.734', '125.594', '', '', '', '', '1200000', '3179840', 'TYZ7']
['2017-09-22 19:31 Fri', '125.828', '125.734', '125.594', '', '', '', '', '1200000', '3179840', 'TYZ7']
['2017-09-22 19:36 Fri', '125.828', '125.734', '125.594', '', '', '', '', '1200000', '3179840', 'TYZ7']
['2017-09-22 19:40 Fri', '125.828', '125.734', '125.594', '125.938', '125.578', '127.891', '124.438', '1200000', '3179840', 'TYZ7']
['2017-09-22 19:42 Fri', '125.828', '125.734', '125.594', '', '', '', '', '1200000', '3179840', 'TYZ7']
['2017-09-22 19:48 Fri', '125.828', '125.734', '125.594', '125.938', '125.578', '127.891', '124.438', '1200000', '3179840', 'TYZ7']
['2017-09-22 19:50 Fri', '125.828', '125.734', '125.594', '', '', '', '', '1200000', '3179840', 'TYZ7']
['2017-09-22 19:52 Fri', '125.828', '125.734', '125.594', '', '', '', '', '1200000', '3179840', 'TYZ7']
['2017-09-22 19:54 Fri', '125.828', '125.734', '125.594', '', '', '', '', '1200000', '3179840', 'TYZ7']
['2017-09-22 19:56 Fri', '125.828', '125.734', '125.594', '125.938', '125.578', '127.891', '124.438', '1200000', '3179840', 'TYZ7']
