['2017-09-22 19:22 Fri', '107.906', '107.891', '107.875', '', '', '', '', '247800', '1509006', 'TUZ7']
['2017-09-22 19:27 Fri', '107.906', '107.891', '107.875', '', '', '', '', '247800', '1509006', 'TUZ7']
['2017-09-22 19:28 Fri', '107.906', '107.891', '107.875', '', '', '', '', '247800', '1509006', 'TUZ7']
['2017-09-22 19:30 Fri', '107.906', '107.891', '107.875', '', '', '', '', '247800', '1509006', 'TUZ7']
['2017-09-22 19:31 Fri', '107.906', '107.891', '107.875', '', '', '', '', '247800', '1509006', 'TUZ7']
['2017-09-22 19:36 Fri', '107.906', '107.891', '107.875', '', '', '', '', '247800', '1509006', 'TUZ7']
['2017-09-22 19:40 Fri', '107.906', '107.891', '107.875', '107.922', '107.875', '108.313', '107.867', '247800', '1509006', 'TUZ7']
['2017-09-22 19:42 Fri', '107.906', '107.891', '107.875', '', '', '', '', '247800', '1509006', 'TUZ7']
['2017-09-22 19:48 Fri', '107.906', '107.891', '107.875', '107.922', '107.875', '108.313', '107.867', '247800', '1509006', 'TUZ7']
['2017-09-22 19:50 Fri', '107.906', '107.891', '107.875', '', '', '', '', '247800', '1509006', 'TUZ7']
['2017-09-22 19:52 Fri', '107.906', '107.891', '107.875', '', '', '', '', '247800', '1509006', 'TUZ7']
['2017-09-22 19:54 Fri', '107.906', '107.891', '107.875', '', '', '', '', '247800', '1509006', 'TUZ7']
['2017-09-22 19:56 Fri', '107.906', '107.891', '107.875', '107.922', '107.875', '108.313', '107.867', '247800', '1509006', 'TUZ7']
