['2017-09-22 19:22 Fri', '154.375', '154.094', '153.938', '', '', '', '', '222300', '715126', 'USZ7']
['2017-09-22 19:27 Fri', '154.375', '154.094', '153.938', '', '', '', '', '222300', '715126', 'USZ7']
['2017-09-22 19:28 Fri', '154.375', '154.094', '153.938', '', '', '', '', '222300', '715126', 'USZ7']
['2017-09-22 19:30 Fri', '154.375', '154.094', '153.938', '', '', '', '', '222300', '715126', 'USZ7']
['2017-09-22 19:31 Fri', '154.375', '154.094', '153.938', '', '', '', '', '222300', '715126', 'USZ7']
['2017-09-22 19:36 Fri', '154.375', '154.094', '153.938', '', '', '', '', '222300', '715126', 'USZ7']
['2017-09-22 19:40 Fri', '154.375', '154.094', '153.938', '154.594', '153.906', '158.281', '149.000', '222300', '715126', 'USZ7']
['2017-09-22 19:42 Fri', '154.375', '154.094', '153.938', '', '', '', '', '222300', '715126', 'USZ7']
['2017-09-22 19:48 Fri', '154.375', '154.094', '153.938', '154.594', '153.906', '158.281', '149.000', '222300', '715126', 'USZ7']
['2017-09-22 19:50 Fri', '154.375', '154.094', '153.938', '', '', '', '', '222300', '715126', 'USZ7']
['2017-09-22 19:52 Fri', '154.375', '154.094', '153.938', '', '', '', '', '222300', '715126', 'USZ7']
['2017-09-22 19:54 Fri', '154.375', '154.094', '153.938', '', '', '', '', '222300', '715126', 'USZ7']
['2017-09-22 19:56 Fri', '154.375', '154.094', '153.938', '154.594', '153.906', '158.281', '149.000', '222300', '715126', 'USZ7']
