['2017-09-22 19:22 Fri', '117.734', '117.695', '117.602', '', '', '', '', '614700', '2959882', 'FVZ7']
['2017-09-22 19:27 Fri', '117.734', '117.695', '117.602', '', '', '', '', '614700', '2959882', 'FVZ7']
['2017-09-22 19:28 Fri', '117.734', '117.695', '117.602', '', '', '', '', '614700', '2959882', 'FVZ7']
['2017-09-22 19:30 Fri', '117.734', '117.695', '117.602', '', '', '', '', '614700', '2959882', 'FVZ7']
['2017-09-22 19:31 Fri', '117.734', '117.695', '117.602', '', '', '', '', '614700', '2959882', 'FVZ7']
['2017-09-22 19:36 Fri', '117.734', '117.695', '117.602', '', '', '', '', '614700', '2959882', 'FVZ7']
['2017-09-22 19:40 Fri', '117.734', '117.695', '117.602', '117.805', '117.602', '119.047', '117.133', '614700', '2959882', 'FVZ7']
['2017-09-22 19:42 Fri', '117.734', '117.695', '117.602', '', '', '', '', '614700', '2959882', 'FVZ7']
['2017-09-22 19:48 Fri', '117.734', '117.695', '117.602', '117.805', '117.602', '119.047', '117.133', '614700', '2959882', 'FVZ7']
['2017-09-22 19:50 Fri', '117.734', '117.695', '117.602', '', '', '', '', '614700', '2959882', 'FVZ7']
['2017-09-22 19:52 Fri', '117.734', '117.695', '117.602', '', '', '', '', '614700', '2959882', 'FVZ7']
['2017-09-22 19:54 Fri', '117.734', '117.695', '117.602', '', '', '', '', '614700', '2959882', 'FVZ7']
['2017-09-22 19:56 Fri', '117.734', '117.695', '117.602', '117.805', '117.602', '119.047', '117.133', '614700', '2959882', 'FVZ7']
