['2017-09-22 19:22 Fri', '0.9693', '0.9706', '', '', '', '', '', '', '', 'USDCHF:CUR']
['2017-09-22 19:27 Fri', '0.9693', '0.9706', '', '', '', '', '', '', '', 'USDCHF:CUR']
['2017-09-22 19:28 Fri', '0.9693', '0.9706', '', '', '', '', '', '', '', 'USDCHF:CUR']
['2017-09-22 19:30 Fri', '0.9693', '0.9706', '', '', '', '', '', '', '', 'USDCHF:CUR']
['2017-09-22 19:31 Fri', '0.9693', '0.9706', '', '', '', '', '', '', '', 'USDCHF:CUR']
['2017-09-22 19:36 Fri', '0.9693', '0.9706', '', '', '', '1.0344', '0.9421', '', '', 'USDCHF:CUR']
['2017-09-22 19:40 Fri', '0.9693', '0.9706', '', '', '', '1.0344', '0.9421', '', '', 'USDCHF:CUR']
['2017-09-22 19:42 Fri', '0.9693', '0.9706', '', '', '', '1.0344', '0.9421', '', '', 'USDCHF:CUR']
['2017-09-22 19:48 Fri', '0.9693', '0.9706', '', '', '', '1.0344', '0.9421', '', '', 'USDCHF:CUR']
['2017-09-22 19:50 Fri', '0.9693', '0.9706', '', '', '', '1.0344', '0.9421', '', '', 'USDCHF:CUR']
['2017-09-22 19:52 Fri', '0.9693', '0.9706', '', '', '', '1.0344', '0.9421', '', '', 'USDCHF:CUR']
['2017-09-22 19:54 Fri', '0.9693', '0.9706', '', '', '', '1.0344', '0.9421', '', '', 'USDCHF:CUR']
['2017-09-22 19:56 Fri', '0.9693', '0.9706', '', '', '', '1.0344', '0.9421', '', '', 'USDCHF:CUR']
