['2017-09-22 19:22 Fri', '111.99', '112.48', '', '', '', '', '', '', '', 'USDJPY:CUR']
['2017-09-22 19:27 Fri', '111.99', '112.48', '', '', '', '', '', '', '', 'USDJPY:CUR']
['2017-09-22 19:28 Fri', '111.99', '112.48', '', '', '', '', '', '', '', 'USDJPY:CUR']
['2017-09-22 19:30 Fri', '111.99', '112.48', '', '', '', '', '', '', '', 'USDJPY:CUR']
['2017-09-22 19:31 Fri', '111.99', '112.48', '', '', '', '', '', '', '', 'USDJPY:CUR']
['2017-09-22 19:36 Fri', '111.99', '112.48', '', '', '', '118.66', '100.09', '', '', 'USDJPY:CUR']
['2017-09-22 19:40 Fri', '111.99', '112.48', '', '', '', '118.66', '100.09', '', '', 'USDJPY:CUR']
['2017-09-22 19:42 Fri', '111.99', '112.48', '', '', '', '118.66', '100.09', '', '', 'USDJPY:CUR']
['2017-09-22 19:48 Fri', '111.99', '112.48', '', '', '', '118.66', '100.09', '', '', 'USDJPY:CUR']
['2017-09-22 19:50 Fri', '111.99', '112.48', '', '', '', '118.66', '100.09', '', '', 'USDJPY:CUR']
['2017-09-22 19:52 Fri', '111.99', '112.48', '', '', '', '118.66', '100.09', '', '', 'USDJPY:CUR']
['2017-09-22 19:54 Fri', '111.99', '112.48', '', '', '', '118.66', '100.09', '', '', 'USDJPY:CUR']
['2017-09-22 19:56 Fri', '111.99', '112.48', '', '', '', '118.66', '100.09', '', '', 'USDJPY:CUR']
