['2017-09-22 19:22 Fri', '9.59', '9.67', '9.90', '', '', '', '', '', '', 'VIX:IND']
['2017-09-22 19:27 Fri', '9.59', '9.67', '9.90', '', '', '', '', '', '', 'VIX:IND']
['2017-09-22 19:28 Fri', '9.59', '9.67', '9.90', '', '', '', '', '', '', 'VIX:IND']
['2017-09-22 19:30 Fri', '9.59', '9.67', '9.90', '', '', '', '', '', '', 'VIX:IND']
['2017-09-22 19:31 Fri', '9.59', '9.67', '9.90', '', '', '', '', '', '', 'VIX:IND']
['2017-09-22 19:36 Fri', '9.59', '9.67', '9.90', '10.20', '9.50', '23.01', '8.84', '', '', 'VIX:IND']
['2017-09-22 19:40 Fri', '9.59', '9.67', '9.90', '10.20', '9.50', '23.01', '8.84', '', '', 'VIX:IND']
['2017-09-22 19:42 Fri', '9.59', '9.67', '9.90', '10.20', '9.50', '23.01', '8.84', '', '', 'VIX:IND']
['2017-09-22 19:48 Fri', '9.59', '9.67', '9.90', '10.20', '9.50', '23.01', '8.84', '', '', 'VIX:IND']
['2017-09-22 19:50 Fri', '9.59', '9.67', '9.90', '10.20', '9.50', '23.01', '8.84', '', '', 'VIX:IND']
['2017-09-22 19:52 Fri', '9.59', '9.67', '9.90', '10.20', '9.50', '23.01', '8.84', '', '', 'VIX:IND']
['2017-09-22 19:54 Fri', '9.59', '9.67', '9.90', '10.20', '9.50', '23.01', '8.84', '', '', 'VIX:IND']
['2017-09-22 19:56 Fri', '9.59', '9.67', '9.90', '10.20', '9.50', '23.01', '8.84', '', '', 'VIX:IND']
