['2017-08-29 09:20 Tue', '0.7968', '0.7963', '0.7963', '0.7983', '0.7906', '0.8066', '0.7160', '', '', 'AUDUSD:CUR']
['2017-08-30 09:20 Wed', '0.7933', '0.7951', '0.7951', '0.7996', '0.7926', '0.8066', '0.7160', '', '', 'AUDUSD:CUR']
['2017-08-31 09:20 Thu', '0.7904', '0.7905', '0.7905', '0.7923', '0.7871', '0.8066', '0.7160', '', '', 'AUDUSD:CUR']
['2017-09-01 09:20 Fri', '0.7979', '0.7947', '0.7947', '0.7994', '0.7922', '0.8066', '0.7160', '', '', 'AUDUSD:CUR']
['2017-09-04 09:20 Mon', '0.7949', '0.7975', '0.7948', '0.7973', '0.7935', '0.8066', '0.7160', '', '', 'AUDUSD:CUR']
['2017-09-05 09:20 Tue', '0.8013', '0.7944', '0.7944', '0.8016', '0.7942', '0.8066', '0.7160', '', '', 'AUDUSD:CUR']
['2017-09-06 09:20 Wed', '0.7968', '0.7996', '0.7996', '0.8021', '0.7964', '0.8066', '0.7160', '', '', 'AUDUSD:CUR']
['2017-09-07 09:20 Thu', '0.8029', '0.8000', '0.8000', '0.8043', '0.7975', '0.8066', '0.7160', '', '', 'AUDUSD:CUR']
['2017-09-08 09:20 Fri', '0.8090', '0.8047', '0.8047', '0.8125', '0.8043', '0.8125', '0.7160', '', '', 'AUDUSD:CUR']
['2017-09-11 09:20 Mon', '0.8029', '0.8060', '0.8064', '0.8073', '0.8029', '0.8125', '0.7160', '', '', 'AUDUSD:CUR']
['2017-09-12 09:20 Tue', '0.8023', '0.8029', '0.8029', '0.8049', '0.7998', '0.8125', '0.7160', '', '', 'AUDUSD:CUR']
['2017-09-13 09:20 Wed', '0.8020', '0.8019', '0.8019', '0.8044', '0.8011', '0.8125', '0.7160', '', '', 'AUDUSD:CUR']
['2017-09-14 09:20 Thu', '0.7966', '0.7986', '0.7986', '0.8016', '0.7956', '0.8125', '0.7160', '', '', 'AUDUSD:CUR']
['2017-09-15 09:20 Fri', '0.8026', '0.8005', '0.8005', '0.8035', '0.7987', '0.8125', '0.7160', '', '', 'AUDUSD:CUR']
['2017-09-19 09:20 Tue', '0.8007', '0.7958', '0.7958', '0.8015', '0.7957', '0.8125', '0.7160', '', '', 'AUDUSD:CUR']
['2017-09-20 09:20 Wed', '0.8057', '0.8010', '0.8010', '0.8065', '0.8000', '0.8125', '0.7160', '', '', 'AUDUSD:CUR']
['2017-09-21 09:20 Thu', '0.7931', '0.8031', '0.8031', '0.8036', '0.7918', '0.8125', '0.7160', '', '', 'AUDUSD:CUR']
['2017-09-22 09:20 Fri', '0.7971', '0.7929', '0.7929', '0.7976', '0.7908', '0.8125', '0.7160', '', '', 'AUDUSD:CUR']
