['2017-08-29 09:20 Tue', '51.82', '51.89', '52.04', '52.19', '51.36', '60.13', '44.88', '63400', '129938', 'LCOV7']
['2017-08-30 09:20 Wed', '51.52', '52.00', '51.97', '52.01', '51.35', '60.13', '44.88', '58300', '95481', 'LCOV7']
['2017-08-31 09:20 Thu', '51.36', '50.86', '50.58', '51.41', '50.56', '60.13', '44.88', '15100', '44919', 'LCOV7']
['2017-09-01 09:20 Fri', '52.76', '52.86', '52.84', '52.91', '52.24', '60.08', '45.19', '101400', '558506', 'LCOX7']
['2017-09-04 09:20 Mon', '52.65', '52.75', '52.85', '52.85', '51.99', '60.08', '45.19', '71700', '537015', 'LCOX7']
['2017-09-05 09:20 Tue', '53.20', '52.34', '52.30', '53.23', '52.09', '60.08', '45.19', '104100', '523173', 'LCOX7']
['2017-09-06 09:20 Wed', '54.13', '53.38', '53.16', '54.26', '53.09', '60.08', '45.19', '155800', '511097', 'LCOX7']
['2017-09-07 09:20 Thu', '54.29', '54.20', '54.13', '54.67', '53.89', '60.08', '45.19', '141400', '508905', 'LCOX7']
['2017-09-08 09:20 Fri', '54.68', '54.49', '54.54', '54.87', '54.44', '60.08', '45.19', '111500', '495289', 'LCOX7']
['2017-09-11 09:20 Mon', '53.30', '53.78', '53.82', '54.14', '53.26', '60.08', '45.19', '103200', '479765', 'LCOX7']
['2017-09-12 09:20 Tue', '54.03', '53.84', '53.77', '54.33', '53.42', '60.08', '45.19', '144500', '460626', 'LCOX7']
['2017-09-13 09:20 Wed', '54.61', '54.27', '54.18', '54.77', '54.03', '60.08', '45.19', '90400', '451154', 'LCOX7']
['2017-09-14 09:20 Thu', '55.63', '55.16', '55.02', '55.74', '54.93', '60.08', '45.19', '122400', '408488', 'LCOX7']
['2017-09-15 09:20 Fri', '55.63', '55.47', '55.29', '55.75', '54.86', '60.08', '45.19', '110800', '363067', 'LCOX7']
['2017-09-19 09:20 Tue', '55.66', '55.48', '55.48', '55.89', '55.29', '60.08', '45.19', '80700', '295959', 'LCOX7']
['2017-09-20 09:20 Wed', '55.77', '55.14', '55.35', '55.87', '55.26', '60.08', '45.19', '97100', '285985', 'LCOX7']
['2017-09-21 09:20 Thu', '56.13', '56.29', '56.17', '56.31', '55.76', '60.08', '45.19', '126400', '269408', 'LCOX7']
['2017-09-22 09:20 Fri', '56.64', '56.43', '56.50', '56.64', '56.22', '60.08', '45.19', '88000', '236391', 'LCOX7']
['2017-09-25 09:27 Mon', '57.61', '56.86', '56.80', '57.83', '56.70', '60.08', '45.19', '89600', '214019', 'LCOX7']
['2017-09-27 09:27 Wed', '58.28', '58.44', '58.57', '58.89', '57.83', '60.08', '45.19', '70500', '132277', 'LCOX7']
['2017-09-28 09:27 Thu', '58.51', '57.90', '57.70', '58.59', '57.44', '60.08', '45.19', '44800', '95394', 'LCOX7']
['2017-09-29 09:27 Fri', '57.50', '57.41', '57.60', '57.80', '57.14', '60.08', '45.19', '16000', '57872', 'LCOX7']
['2017-10-02 09:27 Mon', '55.64', '56.79', '56.73', '56.76', '55.59', '60.09', '45.51', '141700', '667950', 'LCOZ7']
['2017-10-03 09:27 Tue', '55.85', '56.12', '56.10', '56.25', '55.70', '60.09', '45.51', '104500', '660801', 'LCOZ7']
['2017-10-04 09:27 Wed', '55.95', '56.00', '55.67', '56.02', '55.38', '60.09', '45.51', '118500', '645339', 'LCOZ7']
['2017-10-05 09:27 Thu', '56.22', '55.80', '55.77', '56.39', '55.70', '60.09', '45.51', '133900', '616188', 'LCOZ7']
['2017-10-06 09:27 Fri', '55.97', '57.00', '56.99', '57.28', '55.86', '60.09', '45.51', '162000', '630303', 'LCOZ7']
