['2017-08-29 09:20 Tue', '11900.48', '12123.47', '12031.12', '12032.32', '11868.84', '12951.54', '10174.92', '56935', '', 'DAX:IND']
['2017-08-30 09:20 Wed', '12009.83', '11945.88', '12026.45', '12040.82', '11989.61', '12951.54', '10174.92', '28748', '', 'DAX:IND']
['2017-08-31 09:20 Thu', '12092.70', '12002.47', '12098.57', '12100.07', '12044.88', '12951.54', '10174.92', '31780', '', 'DAX:IND']
['2017-09-01 09:20 Fri', '12155.79', '12055.84', '12101.15', '12175.33', '12085.31', '12951.54', '10174.92', '37720', '', 'DAX:IND']
['2017-09-04 09:20 Mon', '12110.51', '12142.64', '12051.80', '12138.41', '12050.53', '12951.54', '10174.92', '23880', '', 'DAX:IND']
['2017-09-05 09:20 Tue', '12166.65', '12102.21', '12125.42', '12210.25', '12118.30', '12951.54', '10174.92', '45046736', '', 'DAX:IND']
['2017-09-06 09:20 Wed', '12246.94', '12123.71', '12071.90', '12260.76', '12066.84', '12951.54', '10174.92', '43611', '', 'DAX:IND']
['2017-09-07 09:20 Thu', '12303.26', '12214.54', '12284.14', '12363.60', '12265.51', '12951.54', '10174.92', '48581', '', 'DAX:IND']
['2017-09-08 09:20 Fri', '12302.38', '12296.63', '12261.81', '12321.61', '12245.33', '12951.54', '10174.92', '35893', '', 'DAX:IND']
['2017-09-11 09:20 Mon', '12445.17', '12303.98', '12381.52', '12456.50', '12381.33', '12951.54', '10174.92', '63365980', '', 'DAX:IND']
['2017-09-12 09:20 Tue', '12547.83', '12475.24', '12527.44', '12556.76', '12512.59', '12951.54', '10174.92', '79293304', '', 'DAX:IND']
['2017-09-13 09:20 Wed', '12535.44', '12524.77', '12489.25', '12550.32', '12489.25', '12951.54', '10174.92', '37033', '', 'DAX:IND']
['2017-09-14 09:20 Thu', '12517.47', '12553.57', '12524.12', '12538.20', '12499.55', '12951.54', '10174.92', '38239', '', 'DAX:IND']
['2017-09-15 09:20 Fri', '12517.62', '12540.45', '12525.36', '12561.35', '12513.58', '12951.54', '10174.92', '85606656', '', 'DAX:IND']
