['2017-08-29 09:20 Tue', '21808.40', '21813.67', '21832.50', '21861.49', '21767.94', '22179.11', '17883.56', '69123792', '', 'INDU:IND']
['2017-08-30 09:20 Wed', '21865.37', '21808.40', '21718.00', '21879.22', '21673.58', '22179.11', '17883.56', '64586520', '', 'INDU:IND']
['2017-08-31 09:20 Thu', '21892.43', '21865.37', '21859.76', '21914.26', '21839.47', '22179.11', '17883.56', '73008280', '', 'INDU:IND']
['2017-09-01 09:20 Fri', '21948.10', '21892.43', '21936.01', '21985.76', '21910.50', '22179.11', '17883.56', '131654376', '', 'INDU:IND']
['2017-09-04 09:20 Mon', '21987.56', '21948.10', '21981.77', '22038.97', '21974.91', '22179.11', '17883.56', '71060728', '', 'INDU:IND']
['2017-09-05 09:20 Tue', '21987.56', '21948.10', '21981.77', '22038.97', '21974.91', '22179.11', '17883.56', '71060728', '', 'INDU:IND']
['2017-09-06 09:20 Wed', '21753.31', '21987.56', '21912.37', '21921.09', '21709.63', '22179.11', '17883.56', '90491544', '', 'INDU:IND']
['2017-09-07 09:20 Thu', '21807.64', '21753.31', '21815.76', '21849.24', '21794.07', '22179.11', '17883.56', '89885592', '', 'INDU:IND']
['2017-09-08 09:20 Fri', '21784.78', '21807.64', '21820.38', '21850.01', '21745.71', '22179.11', '17883.56', '84962520', '', 'INDU:IND']
['2017-09-11 09:20 Mon', '21797.79', '21784.78', '21764.43', '21846.63', '21731.12', '22179.11', '17883.56', '77327648', '', 'INDU:IND']
['2017-09-12 09:20 Tue', '22057.37', '21797.79', '21927.79', '22067.10', '21927.79', '22179.11', '17883.56', '90482656', '', 'INDU:IND']
['2017-09-13 09:20 Wed', '22118.86', '22057.37', '22090.56', '22134.57', '22087.09', '22179.11', '17883.56', '96062240', '', 'INDU:IND']
['2017-09-14 09:20 Thu', '22158.18', '22118.86', '22103.47', '22158.18', '22095.79', '22179.11', '17883.56', '78255920', '', 'INDU:IND']
['2017-09-15 09:20 Fri', '22203.48', '22158.18', '22144.96', '22216.44', '22135.26', '22216.44', '17883.56', '84124296', '', 'INDU:IND']
['2017-09-19 09:20 Tue', '22331.35', '22268.34', '22297.92', '22355.62', '22283.35', '22355.62', '17883.56', '81291232', '', 'INDU:IND']
['2017-09-20 09:20 Wed', '22370.80', '22331.35', '22349.70', '22386.01', '22340.71', '22386.01', '17883.56', '80935800', '', 'INDU:IND']
['2017-09-21 09:20 Thu', '22412.59', '22370.80', '22351.38', '22413.26', '22314.68', '22413.26', '17883.56', '93594584', '', 'INDU:IND']
['2017-09-22 09:20 Fri', '22359.23', '22412.59', '22414.02', '22419.51', '22356.55', '22419.51', '17883.56', '80255744', '', 'INDU:IND']
['2017-09-25 09:27 Mon', '22349.59', '22359.23', '22334.07', '22364.31', '22299.58', '22419.51', '17883.56', '84573792', '', 'INDU:IND']
['2017-09-27 09:27 Wed', '22284.32', '22296.09', '22322.03', '22369.35', '22279.52', '22419.51', '17883.56', '79997888', '', 'INDU:IND']
['2017-09-28 09:27 Thu', '22340.71', '22284.32', '22330.93', '22371.10', '22254.93', '22419.51', '17883.56', '93009424', '', 'INDU:IND']
['2017-09-29 09:27 Fri', '22381.20', '22340.71', '22306.83', '22394.74', '22288.97', '22419.51', '17883.56', '75651648', '', 'INDU:IND']
['2017-10-02 09:27 Mon', '22405.09', '22381.20', '22358.47', '22405.63', '22332.96', '22419.51', '17883.56', '88016512', '', 'INDU:IND']
['2017-10-03 09:27 Tue', '22557.60', '22405.09', '22423.47', '22559.38', '22416.00', '22559.38', '17883.56', '74048120', '', 'INDU:IND']
['2017-10-04 09:27 Wed', '22641.67', '22557.60', '22564.45', '22646.32', '22562.90', '22646.32', '17883.56', '60981204', '', 'INDU:IND']
['2017-10-05 09:27 Thu', '22661.64', '22641.67', '22645.67', '22685.94', '22632.80', '22685.94', '17883.56', '66037924', '', 'INDU:IND']
['2017-10-06 09:27 Fri', '22775.39', '22661.64', '22669.08', '22777.04', '22655.14', '22777.04', '17883.56', '66902248', '', 'INDU:IND']
