['2017-08-29 09:20 Tue', '98.59', '98.5800', '98.58', '98.6000', '98.5750', '98.9950', '98.3350', '158900', '2020813', 'EDZ17']
['2017-08-30 09:20 Wed', '98.58', '98.5800', '98.58', '98.5850', '98.5700', '98.9950', '98.3350', '92600', '2023243', 'EDZ17']
['2017-08-31 09:20 Thu', '98.58', '98.5850', '98.58', '98.5850', '98.5750', '98.9950', '98.3350', '52100', '2019729', 'EDZ17']
['2017-09-01 09:20 Fri', '98.58', '98.5850', '98.585', '98.5950', '98.5750', '98.9950', '98.3350', '119500', '2026149', 'EDZ17']
['2017-09-04 09:20 Mon', '98.58', '98.5750', '98.58', '98.5850', '98.5750', '98.9950', '98.3350', '32900', '2044803', 'EDZ17']
['2017-09-05 09:20 Tue', '98.58', '98.5750', '98.58', '98.5850', '98.5750', '98.9950', '98.3350', '130100', '2044803', 'EDZ17']
['2017-09-06 09:20 Wed', '98.595', '98.5900', '98.595', '98.6000', '98.5850', '98.9950', '98.3350', '98300', '2050167', 'EDZ17']
['2017-09-07 09:20 Thu', '98.605', '98.5900', '98.595', '98.6050', '98.5900', '98.9950', '98.3350', '96800', '2074584', 'EDZ17']
['2017-09-08 09:20 Fri', '98.62', '98.6150', '98.615', '98.6350', '98.6100', '98.9950', '98.3350', '149900', '2075970', 'EDZ17']
['2017-09-11 09:20 Mon', '98.60', '98.6300', '98.62', '98.6250', '98.5950', '98.9950', '98.3350', '131000', '2087589', 'EDZ17']
['2017-09-12 09:20 Tue', '98.585', '98.6000', '98.595', '98.5950', '98.5800', '98.9950', '98.3350', '113600', '2101035', 'EDZ17']
['2017-09-13 09:20 Wed', '98.585', '98.5850', '98.585', '98.5950', '98.5800', '98.9950', '98.3350', '96400', '2097277', 'EDZ17']
['2017-09-14 09:20 Thu', '98.55', '98.5750', '98.58', '98.5800', '98.5400', '98.9950', '98.3350', '244400', '2109583', 'EDZ17']
['2017-09-15 09:20 Fri', '98.555', '98.5500', '98.555', '98.5650', '98.5450', '98.9950', '98.3350', '170900', '2082605', 'EDZ17']
['2017-09-19 09:20 Tue', '98.54', '98.5300', '98.53', '98.5400', '98.5300', '98.9950', '98.3350', '37800', '2076591', 'EDZ17']
['2017-09-20 09:20 Wed', '98.54', '98.5300', '98.525', '98.5400', '98.5250', '98.9950', '98.3350', '113200', '2054617', 'EDZ17']
['2017-09-21 09:20 Thu', '98.51', '98.5050', '98.505', '98.5150', '98.5000', '98.9950', '98.3350', '115500', '2060937', 'EDZ17']
['2017-09-22 09:20 Fri', '98.505', '98.4950', '98.495', '98.5100', '98.4950', '98.9950', '98.3350', '101600', '2032551', 'EDZ17']
