['2017-08-29 09:20 Tue', '130.58', '130.87', '130.87', '130.93', '129.66', '131.40', '112.09', '', '', 'EURJPY:CUR']
['2017-08-30 09:20 Wed', '131.40', '131.33', '131.33', '131.71', '131.13', '131.71', '112.09', '', '', 'EURJPY:CUR']
['2017-08-31 09:20 Thu', '130.83', '131.01', '131.01', '131.58', '130.77', '131.71', '112.09', '', '', 'EURJPY:CUR']
['2017-09-01 09:20 Fri', '130.86', '130.98', '130.98', '131.35', '130.75', '131.71', '112.09', '', '', 'EURJPY:CUR']
['2017-09-04 09:20 Mon', '130.44', '130.75', '129.84', '130.71', '129.76', '131.71', '112.09', '', '', 'EURJPY:CUR']
['2017-09-05 09:20 Tue', '129.86', '130.52', '130.52', '130.64', '129.84', '131.71', '112.09', '', '', 'EURJPY:CUR']
['2017-09-06 09:20 Wed', '129.87', '129.64', '129.64', '130.01', '129.37', '131.71', '112.09', '', '', 'EURJPY:CUR']
['2017-09-07 09:20 Thu', '131.02', '130.16', '130.16', '131.09', '129.94', '131.71', '112.09', '', '', 'EURJPY:CUR']
['2017-09-08 09:20 Fri', '129.71', '130.40', '130.40', '130.66', '129.47', '131.71', '112.09', '', '', 'EURJPY:CUR']
['2017-09-11 09:20 Mon', '130.32', '129.79', '129.79', '130.49', '129.71', '131.71', '112.09', '', '', 'EURJPY:CUR']
['2017-09-12 09:20 Tue', '131.26', '130.76', '130.76', '131.32', '130.68', '131.71', '112.09', '', '', 'EURJPY:CUR']
['2017-09-13 09:20 Wed', '131.68', '131.84', '131.84', '132.01', '131.64', '132.01', '112.09', '', '', 'EURJPY:CUR']
['2017-09-14 09:20 Thu', '131.45', '131.32', '131.32', '131.69', '131.11', '132.01', '112.09', '', '', 'EURJPY:CUR']
['2017-09-15 09:20 Fri', '132.65', '131.40', '131.40', '133.09', '130.62', '133.09', '112.09', '', '', 'EURJPY:CUR']
