['2017-08-29 09:20 Tue', '165.46', '164.96', '165.03', '165.69', '165.00', '165.93', '159.10', '521600', '1534448', 'FGBLU7']
['2017-08-30 09:20 Wed', '165.00', '165.43', '165.26', '165.31', '164.92', '165.93', '159.10', '388000', '1512233', 'FGBLU7']
['2017-08-31 09:20 Thu', '165.13', '165.14', '165.13', '165.19', '164.85', '165.93', '159.10', '381400', '1474850', 'FGBLU7']
['2017-09-01 09:20 Fri', '164.78', '165.08', '165.15', '165.21', '164.63', '165.93', '159.10', '523799', '1383000', 'FGBLU7']
['2017-09-04 09:20 Mon', '164.98', '164.86', '164.98', '165.15', '164.89', '165.93', '159.10', '581400', '1227496', 'FGBLU7']
['2017-09-05 09:20 Tue', '165.24', '165.04', '165.05', '165.28', '164.84', '165.93', '159.10', '749800', '874644', 'FGBLU7']
['2017-09-06 09:20 Wed', '162.60', '162.64', '162.79', '162.84', '162.41', '162.93', '156.87', '616500', '1486287', 'FGBLZ7']
['2017-09-07 09:20 Thu', '162.67', '162.57', '162.30', '162.78', '162.22', '162.93', '156.87', '495800', '1667630', 'FGBLZ7']
['2017-09-08 09:20 Fri', '162.86', '163.18', '163.40', '163.43', '162.83', '163.43', '156.87', '427400', '1695491', 'FGBLZ7']
['2017-09-11 09:20 Mon', '162.77', '162.96', '162.85', '162.89', '162.67', '163.43', '156.87', '269900', '1697534', 'FGBLZ7']
['2017-09-12 09:20 Tue', '162.20', '162.77', '162.67', '162.70', '162.16', '163.43', '156.87', '393000', '1701763', 'FGBLZ7']
['2017-09-13 09:20 Wed', '161.83', '161.87', '161.96', '162.07', '161.62', '163.43', '156.87', '390000', '1701307', 'FGBLZ7']
['2017-09-14 09:20 Thu', '161.80', '161.72', '161.71', '162.05', '161.37', '163.43', '156.87', '490400', '1711512', 'FGBLZ7']
['2017-09-15 09:20 Fri', '161.46', '161.56', '161.77', '161.82', '161.20', '163.43', '156.87', '441500', '1705997', 'FGBLZ7']
