['2017-08-29 09:20 Tue', '27602.00', '27602.000', '27690.00', '27702.000', '27517.000', '27923.000', '22512.000', '92400', '142156', 'HSIU7']
['2017-08-30 09:20 Wed', '27979.00', '27979.000', '27750.00', '28008.000', '27740.000', '28008.000', '22512.000', '104000', '145048', 'HSIU7']
['2017-08-31 09:20 Thu', '27954.00', '27937.000', '27930.00', '27966.000', '27820.000', '28008.000', '22512.000', '90300', '146212', 'HSIU7']
['2017-09-01 09:20 Fri', '27870.00', '27869.000', '27980.00', '28050.000', '27851.000', '28050.000', '22512.000', '89100', '145902', 'HSIU7']
['2017-09-04 09:20 Mon', '27757.00', '27756.000', '27810.00', '27870.000', '27611.000', '28050.000', '22512.000', '97500', '147571', 'HSIU7']
['2017-09-05 09:20 Tue', '27711.00', '27711.000', '27776.00', '27824.000', '27628.000', '28050.000', '22512.000', '93600', '147982', 'HSIU7']
['2017-09-06 09:20 Wed', '27585.00', '27585.000', '27611.00', '27650.000', '27350.000', '28050.000', '22512.000', '115400', '148139', 'HSIU7']
['2017-09-07 09:20 Thu', '27478.00', '27478.000', '27740.00', '27788.000', '27430.000', '28050.000', '22512.000', '107700', '146810', 'HSIU7']
['2017-09-08 09:20 Fri', '27676.00', '27676.000', '27536.00', '27685.000', '27518.000', '28050.000', '22512.000', '87700', '147781', 'HSIU7']
['2017-09-11 09:20 Mon', '27941.00', '27941.000', '27780.00', '27997.000', '27775.000', '28050.000', '22512.000', '86300', '149750', 'HSIU7']
['2017-09-12 09:20 Tue', '27927.00', '27927.000', '28000.00', '28034.000', '27857.000', '28050.000', '22512.000', '84400', '146195', 'HSIU7']
['2017-09-13 09:20 Wed', '27863.00', '27863.000', '27955.00', '27983.000', '27711.000', '28050.000', '22512.000', '86800', '144408', 'HSIU7']
['2017-09-14 09:20 Thu', '27778.00', '27778.000', '27812.00', '27870.000', '27666.000', '28050.000', '22512.000', '88300', '143166', 'HSIU7']
['2017-09-15 09:20 Fri', '27776.00', '27776.000', '27723.00', '27913.000', '27457.000', '28050.000', '22512.000', '142400', '143638', 'HSIU7']
['2017-09-19 09:20 Tue', '28035.00', '28035.000', '28135.00', '28225.000', '28014.000', '28225.000', '22512.000', '100200', '142545', 'HSIU7']
['2017-09-20 09:20 Wed', '28124.00', '28124.000', '28050.00', '28129.000', '27994.000', '28225.000', '22512.000', '75300', '140111', 'HSIU7']
['2017-09-21 09:20 Thu', '28129.00', '28129.000', '28091.00', '28175.000', '28035.000', '28225.000', '22512.000', '88900', '139909', 'HSIU7']
['2017-09-22 09:20 Fri', '27783.00', '27784.000', '28007.00', '28010.000', '27771.000', '28225.000', '22512.000', '102200', '132483', 'HSIU7']
