['2017-08-29 09:20 Tue', '2.094', '2.082', '2.092', '2.105', '2.070', '2.423', '1.050', '0', '', 'GBTPGR10:IND']
['2017-08-30 09:20 Wed', '2.078', '2.066', '2.076', '2.085', '2.062', '2.423', '1.050', '0', '', 'GBTPGR10:IND']
['2017-08-31 09:20 Thu', '2.043', '2.078', '2.085', '2.092', '2.038', '2.423', '1.050', '0', '', 'GBTPGR10:IND']
['2017-09-01 09:20 Fri', '2.062', '2.045', '2.041', '2.089', '2.019', '2.423', '1.050', '0', '', 'GBTPGR10:IND']
['2017-09-04 09:20 Mon', '2.044', '2.077', '2.065', '2.078', '2.037', '2.423', '1.050', '0', '', 'GBTPGR10:IND']
['2017-09-05 09:20 Tue', '2.014', '2.038', '2.046', '2.061', '2.011', '2.423', '1.050', '0', '', 'GBTPGR10:IND']
['2017-09-06 09:20 Wed', '2.001', '1.999', '1.999', '2.010', '1.988', '2.423', '1.050', '0', '', 'GBTPGR10:IND']
['2017-09-07 09:20 Thu', '1.971', '2.027', '2.029', '2.053', '1.957', '2.423', '1.050', '0', '', 'GBTPGR10:IND']
['2017-09-08 09:20 Fri', '1.977', '1.924', '1.907', '1.981', '1.901', '2.423', '1.050', '0', '', 'GBTPGR10:IND']
['2017-09-11 09:20 Mon', '1.979', '1.959', '1.988', '2.147', '1.934', '2.423', '1.164', '0', '', 'GBTPGR10:IND']
['2017-09-12 09:20 Tue', '1.987', '1.968', '1.969', '1.989', '1.968', '2.423', '1.164', '0', '', 'GBTPGR10:IND']
['2017-09-13 09:20 Wed', '2.042', '2.025', '2.018', '2.056', '2.008', '2.423', '1.164', '0', '', 'GBTPGR10:IND']
['2017-09-14 09:20 Thu', '2.063', '2.040', '2.053', '2.074', '2.034', '2.423', '1.164', '0', '', 'GBTPGR10:IND']
['2017-09-15 09:20 Fri', '2.054', '2.059', '2.064', '2.082', '2.048', '2.423', '1.164', '0', '', 'GBTPGR10:IND']
['2017-09-19 09:20 Tue', '2.034', '2.072', '2.075', '2.080', '2.026', '2.423', '1.164', '0', '', 'GBTPGR10:IND']
['2017-09-20 09:20 Wed', '2.056', '2.048', '2.055', '2.062', '2.027', '2.423', '1.164', '0', '', 'GBTPGR10:IND']
['2017-09-21 09:20 Thu', '2.107', '2.071', '2.078', '2.137', '2.078', '2.423', '1.164', '0', '', 'GBTPGR10:IND']
['2017-09-22 09:20 Fri', '2.104', '2.110', '2.106', '2.111', '2.085', '2.423', '1.164', '0', '', 'GBTPGR10:IND']
['2017-09-25 09:27 Mon', '2.120', '2.107', '2.116', '2.148', '2.084', '2.423', '1.164', '0', '', 'GBTPGR10:IND']
['2017-09-27 09:27 Wed', '2.163', '2.123', '2.122', '2.165', '2.106', '2.423', '1.164', '0', '', 'GBTPGR10:IND']
['2017-09-28 09:27 Thu', '2.126', '2.151', '2.164', '2.187', '2.122', '2.423', '1.174', '0', '', 'GBTPGR10:IND']
['2017-09-29 09:27 Fri', '2.105', '2.122', '2.126', '2.136', '2.085', '2.423', '1.174', '0', '', 'GBTPGR10:IND']
