['2017-08-29 09:20 Tue', '0.009', '0.011', '0.003', '0.013', '0.003', '0.153', '-0.091', '', '', 'GJGB10:IND']
['2017-08-30 09:20 Wed', '0.011', '0.009', '0.008', '0.019', '0.008', '0.153', '-0.091', '', '', 'GJGB10:IND']
['2017-08-31 09:20 Thu', '0.009', '0.011', '0.013', '0.017', '0.005', '0.153', '-0.091', '', '', 'GJGB10:IND']
['2017-09-01 09:20 Fri', '-0.001', '0.009', '0.008', '0.009', '-0.007', '0.153', '-0.091', '', '', 'GJGB10:IND']
['2017-09-04 09:20 Mon', '-0.009', '-0.001', '-0.005', '0.001', '-0.011', '0.153', '-0.091', '', '', 'GJGB10:IND']
['2017-09-05 09:20 Tue', '0.006', '-0.009', '0.001', '0.015', '-0.005', '0.153', '-0.091', '', '', 'GJGB10:IND']
['2017-09-06 09:20 Wed', '0.012', '0.006', '0.012', '0.028', '0.008', '0.153', '-0.091', '', '', 'GJGB10:IND']
['2017-09-07 09:20 Thu', '0.010', '0.012', '0.012', '0.024', '0.005', '0.153', '-0.091', '', '', 'GJGB10:IND']
['2017-09-08 09:20 Fri', '0.004', '0.010', '0.012', '0.012', '-0.005', '0.153', '-0.091', '', '', 'GJGB10:IND']
['2017-09-11 09:20 Mon', '0.010', '0.004', '0.004', '0.010', '0.001', '0.153', '-0.091', '', '', 'GJGB10:IND']
['2017-09-12 09:20 Tue', '0.020', '0.010', '0.016', '0.037', '0.013', '0.153', '-0.091', '', '', 'GJGB10:IND']
['2017-09-13 09:20 Wed', '0.034', '0.020', '0.040', '0.041', '0.020', '0.153', '-0.091', '', '', 'GJGB10:IND']
['2017-09-14 09:20 Thu', '0.050', '0.034', '0.030', '0.050', '0.025', '0.153', '-0.091', '', '', 'GJGB10:IND']
['2017-09-15 09:20 Fri', '0.029', '0.050', '0.036', '0.037', '0.018', '0.153', '-0.091', '', '', 'GJGB10:IND']
['2017-09-19 09:20 Tue', '0.039', '0.029', '0.030', '0.039', '0.025', '0.153', '-0.091', '', '', 'GJGB10:IND']
['2017-09-20 09:20 Wed', '0.029', '0.039', '0.040', '0.044', '0.029', '0.153', '-0.091', '', '', 'GJGB10:IND']
['2017-09-21 09:20 Thu', '0.040', '0.029', '0.039', '0.043', '0.030', '0.153', '-0.091', '', '', 'GJGB10:IND']
['2017-09-22 09:20 Fri', '0.034', '0.040', '0.029', '0.034', '0.020', '0.153', '-0.091', '', '', 'GJGB10:IND']
['2017-09-25 09:27 Mon', '0.028', '0.034', '0.024', '0.033', '0.020', '0.153', '-0.091', '', '', 'GJGB10:IND']
['2017-09-27 09:27 Wed', '0.059', '0.034', '0.038', '0.059', '0.025', '0.153', '-0.091', '', '', 'GJGB10:IND']
['2017-09-28 09:27 Thu', '0.074', '0.059', '0.071', '0.080', '0.050', '0.153', '-0.091', '', '', 'GJGB10:IND']
['2017-09-29 09:27 Fri', '0.068', '0.074', '0.064', '0.074', '0.061', '0.153', '-0.089', '', '', 'GJGB10:IND']
