['2017-08-29 09:20 Tue', '2.984', '2.961', '2.959', '2.990', '2.934', '3.619', '2.799', '20400', '320159', 'NGV17']
['2017-08-30 09:20 Wed', '2.943', '2.983', '2.973', '2.980', '2.942', '3.619', '2.799', '16500', '323887', 'NGV17']
['2017-08-31 09:20 Thu', '2.925', '2.939', '2.945', '2.947', '2.908', '3.619', '2.799', '20700', '327198', 'NGV17']
['2017-09-01 09:20 Fri', '3.016', '3.040', '3.027', '3.060', '2.998', '3.619', '2.799', '34500', '312530', 'NGV17']
['2017-09-04 09:20 Mon', '3.052', '3.070', '3.013', '3.057', '3.013', '3.619', '2.799', '10300', '299989', 'NGV17']
['2017-09-05 09:20 Tue', '2.97', '3.070', '3.013', '3.059', '2.965', '3.619', '2.799', '70500', '299989', 'NGV17']
['2017-09-06 09:20 Wed', '2.998', '2.972', '2.97', '3.006', '2.960', '3.619', '2.799', '26600', '293428', 'NGV17']
['2017-09-07 09:20 Thu', '3.021', '3.000', '3.008', '3.030', '3.003', '3.619', '2.799', '20700', '273707', 'NGV17']
['2017-09-08 09:20 Fri', '2.936', '2.981', '2.972', '2.975', '2.934', '3.619', '2.799', '25200', '264202', 'NGV17']
['2017-09-11 09:20 Mon', '2.938', '2.890', '2.91', '2.941', '2.899', '3.619', '2.799', '33300', '263317', 'NGV17']
['2017-09-12 09:20 Tue', '3.032', '2.950', '2.95', '3.037', '2.936', '3.619', '2.799', '47000', '231887', 'NGV17']
['2017-09-13 09:20 Wed', '3.052', '3.001', '2.996', '3.064', '2.995', '3.619', '2.799', '34700', '194720', 'NGV17']
['2017-09-14 09:20 Thu', '3.101', '3.118', '3.112', '3.126', '3.095', '3.654', '2.867', '9700', '228609', 'NGX17']
['2017-09-15 09:20 Fri', '3.083', '3.127', '3.126', '3.133', '3.074', '3.654', '2.867', '13800', '240983', 'NGX17']
