['2017-08-29 09:20 Tue', '1373.70', '1381.80', '1373.00', '1377.90', '1368.40', '1452.30', '1332.30', '13500', '555717', 'TFSU7']
['2017-08-30 09:20 Wed', '1380.20', '1382.80', '1384.20', '1389.00', '1379.00', '1452.30', '1332.30', '6400', '555717', 'TFSU7']
['2017-08-31 09:20 Thu', '1395.60', '1390.90', '1391.80', '1398.00', '1390.60', '1452.30', '1332.30', '8300', '552837', 'TFSU7']
['2017-09-01 09:20 Fri', '1408.40', '1404.40', '1406.30', '1409.50', '1404.10', '1452.30', '1332.30', '7600', '552837', 'TFSU7']
['2017-09-04 09:20 Mon', '1407.90', '1412.10', '1400.00', '1409.40', '1399.80', '1452.30', '1332.30', '5800', '551779', 'TFSU7']
['2017-09-05 09:20 Tue', '1414.10', '1412.10', '1418.00', '1419.50', '1411.70', '1452.30', '1332.30', '10800', '547099', 'TFSU7']
['2017-09-06 09:20 Wed', '1405.70', '1401.20', '1399.00', '1406.40', '1397.90', '1452.30', '1332.30', '7800', '542778', 'TFSU7']
['2017-09-07 09:20 Thu', '1403.40', '1401.60', '1399.10', '1403.90', '1398.20', '1452.30', '1332.30', '10500', '541177', 'TFSU7']
['2017-09-08 09:20 Fri', '1396.60', '1398.10', '1396.70', '1398.00', '1393.00', '1452.30', '1332.30', '6000', '506631', 'TFSU7']
['2017-09-11 09:20 Mon', '1411.30', '1403.00', '1405.80', '1413.40', '1405.80', '1452.30', '1332.30', '3800', '468022', 'TFSU7']
['2017-09-12 09:20 Tue', '1419.10', '1416.70', '1414.10', '1419.70', '1414.10', '1452.30', '1332.30', '3600', '457465', 'TFSU7']
['2017-09-13 09:20 Wed', '1421.40', '1423.40', '1423.80', '1423.80', '1420.50', '1452.30', '1332.30', '3400', '448823', 'TFSU7']
['2017-09-14 09:20 Thu', '1425.20', '1427.20', '1426.40', '1427.80', '1423.20', '1452.30', '1332.30', '2500', '434882', 'TFSU7']
['2017-09-15 09:20 Fri', '1422.80', '1426.60', '1421.60', '1426.60', '1421.40', '1451.00', '1349.10', '6400', '52207', 'TFSZ7']
