['2017-08-29 09:20 Tue', '3375.00', '3422.00', '3395.00', '3405.00', '3361.00', '3634.00', '3132.00', '683600', '3355236', 'STXEU7']
['2017-08-30 09:20 Wed', '3404.00', '3387.00', '3411.00', '3417.00', '3395.00', '3634.00', '3132.00', '366400', '3377054', 'STXEU7']
['2017-08-31 09:20 Thu', '3433.00', '3404.00', '3418.00', '3434.00', '3413.00', '3634.00', '3132.00', '309000', '3388852', 'STXEU7']
['2017-09-01 09:20 Fri', '3450.00', '3424.00', '3426.00', '3455.00', '3426.00', '3634.00', '3132.00', '402400', '3346762', 'STXEU7']
['2017-09-04 09:20 Mon', '3430.00', '3444.00', '3432.00', '3438.00', '3415.00', '3634.00', '3132.00', '232300', '3388136', 'STXEU7']
['2017-09-05 09:20 Tue', '3431.00', '3431.00', '3431.00', '3448.00', '3425.00', '3634.00', '3132.00', '381200', '3387595', 'STXEU7']
['2017-09-06 09:20 Wed', '3435.00', '3421.00', '3402.00', '3437.00', '3396.00', '3634.00', '3132.00', '438600', '3417283', 'STXEU7']
['2017-09-07 09:20 Thu', '3450.00', '3435.00', '3443.00', '3469.00', '3438.00', '3634.00', '3132.00', '591100', '3424824', 'STXEU7']
['2017-09-08 09:20 Fri', '3447.00', '3449.00', '3438.00', '3453.00', '3432.00', '3634.00', '3132.00', '379600', '3304346', 'STXEU7']
['2017-09-11 09:20 Mon', '3487.00', '3447.00', '3464.00', '3493.00', '3464.00', '3634.00', '3132.00', '530100', '3086853', 'STXEU7']
['2017-09-12 09:20 Tue', '3516.00', '3492.00', '3501.00', '3519.00', '3501.00', '3634.00', '3132.00', '470600', '2686859', 'STXEU7']
['2017-09-13 09:20 Wed', '3520.00', '3512.00', '3509.00', '3523.00', '3503.00', '3634.00', '3132.00', '621700', '1813499', 'STXEU7']
['2017-09-14 09:20 Thu', '3503.00', '3513.00', '3504.00', '3513.00', '3497.00', '3614.00', '3200.00', '392100', '2998901', 'STXEZ7']
['2017-09-15 09:20 Fri', '3497.00', '3514.00', '3510.00', '3518.00', '3495.00', '3614.00', '3200.00', '600400', '3294810', 'STXEZ7']
['2017-09-19 09:20 Tue', '3516.00', '3515.00', '3516.00', '3517.00', '3508.00', '3614.00', '3200.00', '244800', '3250195', 'STXEZ7']
['2017-09-20 09:20 Wed', '3513.00', '3516.00', '3514.00', '3520.00', '3508.00', '3614.00', '3200.00', '265800', '3256072', 'STXEZ7']
['2017-09-21 09:20 Thu', '3531.00', '3510.00', '3528.00', '3534.00', '3522.00', '3614.00', '3200.00', '292300', '3254991', 'STXEZ7']
['2017-09-22 09:20 Fri', '3529.00', '3530.00', '3519.00', '3540.00', '3517.00', '3614.00', '3200.00', '260600', '3270242', 'STXEZ7']
['2017-09-25 09:27 Mon', '3529.00', '3528.00', '3522.00', '3536.00', '3515.00', '3614.00', '3200.00', '278400', '3268920', 'STXEZ7']
['2017-09-27 09:27 Wed', '3548.00', '3520.00', '3531.00', '3549.00', '3528.00', '3614.00', '3200.00', '310500', '3297631', 'STXEZ7']
['2017-09-28 09:27 Thu', '3551.00', '3546.00', '3552.00', '3555.00', '3544.00', '3614.00', '3200.00', '264000', '3320232', 'STXEZ7']
['2017-09-29 09:27 Fri', '3563.00', '3550.00', '3557.00', '3566.00', '3549.00', '3614.00', '3200.00', '264900', '3280036', 'STXEZ7']
